Orthogroup	t18_fai-gene-cluster-1	t23_fai-gene-cluster-1
OG0000000	AAY_000157	ABC_000136
OG0000000	AAY_000159	ABC_000138
OG0000001	AAY_000141	ABC_000142
OG0000002	AAY_000143, AAY_000144	ABC_000129
OG0000003	AAY_000154	ABC_000134
OG0000003	AAY_000155, AAY_000156	ABC_000135
OG0000004	AAY_000128	ABC_000116
OG0000004	AAY_000127, AAY_000126	ABC_000115
OG0000005	AAY_000160	ABC_000139
OG0000006	AAY_000135	ABC_000123
OG0000007	AAY_000151, AAY_000152, AAY_000153	ABC_000133
OG0000008	AAY_000148, AAY_000150, AAY_000149	ABC_000132
OG0000009	AAY_000170, AAY_000169	ABC_000146
OG0000009	AAY_000171	ABC_000147
OG0000010	AAY_000132	ABC_000118
OG0000011	AAY_000133	ABC_000119
OG0000012	AAY_000179	ABC_000155, ABC_000156
OG0000013	AAY_000136	ABC_000124
OG0000014	AAY_000176	ABC_000152
OG0000015	AAY_000146, AAY_000145	ABC_000130
OG0000016	AAY_000165	ABC_000144
OG0000017	AAY_000172	ABC_000148
OG0000019	AAY_000180	ABC_000157
OG0000020	AAY_000138	ABC_000125
OG0000021	AAY_000168	ABC_000145
OG0000022	AAY_000125	ABC_000114
OG0000023	AAY_000140, AAY_000139	ABC_000126
OG0000024	AAY_000174	ABC_000150
OG0000025	AAY_000175	ABC_000151
OG0000026	AAY_000178	ABC_000154
OG0000027	AAY_000147	ABC_000131
OG0000028	AAY_000173	ABC_000149
OG0000029	AAY_000177	ABC_000153
OG0000030	AAY_000129, AAY_000130	ABC_000117
OG0000032	AAY_000181	ABC_000158
OG0000033	AAY_000162	ABC_000141
OG0000034	AAY_000161	ABC_000140
OG0000036	AAY_000164	ABC_000143
