OG	Start	End	Direction	SC	Metric
OG_7	1	1813.0	1		2.104103394
OG_69	2013.0	2994.0	1		0.597875418
OG_8	3194.0	4145.0	1		0.165203688
OG_9	4345.0	5767.0	1		1.016812461
OG_10	5967.0	6939.0	1		1.699010354
OG_11	7139.0	7964.0	1		2.347685498
OG_73	8164.0	9376.0	1		3.0 #3.564959992
OG_12	9576.0	10992.0	1		3.0 #4.636844905
OG_96	11192.0	12731.0	1		3.0 #3.19225161
OG_70	12931.0	13333.0	1		2.956157351
OG_14	13533.0	14511.0	1		3.0 #3.74365061
OG_15	14711.0	15770.0	1		0.924687559
OG_16	15970.0	16675.0	1		0.126673764
OG_17	16875.0	19557.0	1	//	nan
OG_18	19757.0	20606.0	1		1.958137988
OG_19	20806.0	21565.0	1		-0.902111598
OG_74	21765.0	22599.0	1		2.540112755
OG_20	22799.0	24197.0	1		-1.088622434
OG_21	24397.0	25699.0	1		-1.459455505
OG_22	25899.0	27870.0	1		-0.897056693
OG_23	28070.0	30212.0	1		-1.089416621
OG_25	30412.0	33556.0	1		-1.206549564
OG_26	33756.0	34974.0	1		-0.474985859
OG_27	35174.0	35969.0	1		-0.786540654
OG_28	36169.0	36511.0	0		-0.433898492
OG_29	36711.0	37749.0	1		-1.191988747
OG_30	37949.0	38300.0	1		-6.98737e-05
OG_31	38500.0	39226.0	1		-0.643641878
OG_32	39426.0	40269.0	1		-1.664813838
OG_33	40469.0	41498.0	1		-1.057376298
OG_34	41698.0	42271.0	1		-1.805848562
OG_36	42471.0	43338.0	1		-1.221720719
OG_37	43538.0	44252.0	1		-0.895244781
OG_38	44452.0	45280.0	1		-1.166160539
OG_39	45480.0	46263.0	1		-1.084997276
OG_40	46463.0	47612.0	1		-1.151188446
