HOG	OG	Gene Tree Parent Clade	Ref_Epa_from_V583_fai-gene-cluster-1	t10_fai-gene-cluster-1	t11_fai-gene-cluster-1	t12_fai-gene-cluster-1	t13_fai-gene-cluster-1	t14_fai-gene-cluster-1	t15_fai-gene-cluster-1	t16_fai-gene-cluster-1	t17_fai-gene-cluster-1	t18_fai-gene-cluster-1	t19_fai-gene-cluster-1	t1_fai-gene-cluster-1	t20_fai-gene-cluster-1	t21_fai-gene-cluster-1	t22_fai-gene-cluster-1	t23_fai-gene-cluster-1	t24_fai-gene-cluster-1	t25_fai-gene-cluster-1	t26_fai-gene-cluster-1	t27_fai-gene-cluster-1	t28_fai-gene-cluster-1	t29_fai-gene-cluster-1	t2_fai-gene-cluster-1	t30_fai-gene-cluster-1	t3_fai-gene-cluster-1	t4_fai-gene-cluster-1	t5_fai-gene-cluster-1	t6_fai-gene-cluster-1	t7_fai-gene-cluster-1	t8_fai-gene-cluster-1	t9_fai-gene-cluster-1
N18.HOG0000000	OG0000000	n18																	AAH_000153														
N18.HOG0000001	OG0000000	n29																	AAH_000154														AAZ_000154
N18.HOG0000002	OG0000000	n61																	AAH_000151														AAZ_000153
N18.HOG0000003	OG0000000	n95																	AAH_000152														
N18.HOG0000004	OG0000000	n118																	AAH_000155														AAZ_000155
N18.HOG0000005	OG0000001	n1																	AAH_000141														AAZ_000141
N18.HOG0000006	OG0000001	n38																	AAH_000161														AAZ_000160
N18.HOG0000007	OG0000002	n9																															AAZ_000143
N18.HOG0000008	OG0000002	n29																															AAZ_000144
N18.HOG0000009	OG0000002	n35																															AAZ_000145
N18.HOG0000010	OG0000002	n57																	AAH_000142														AAZ_000142
N18.HOG0000011	OG0000003	n4																	AAH_000150														AAZ_000152
N18.HOG0000012	OG0000004	n59																	AAH_000128														AAZ_000126
N18.HOG0000013	OG0000005	n11																	AAH_000156														AAZ_000156
N18.HOG0000014	OG0000005	n39																	AAH_000157														
N18.HOG0000015	OG0000005	n56																	AAH_000158														AAZ_000157
N18.HOG0000016	OG0000006	n1																	AAH_000136														AAZ_000134
N18.HOG0000017	OG0000006	n32																	AAH_000135														AAZ_000133
N18.HOG0000018	OG0000007	n12																	AAH_000148														AAZ_000150
N18.HOG0000019	OG0000007	n41																	AAH_000149														AAZ_000151
N18.HOG0000020	OG0000008	n42																	AAH_000147														AAZ_000149
N18.HOG0000021	OG0000009	n3																	AAH_000168														
N18.HOG0000022	OG0000010	n4																	AAH_000131														AAZ_000129
N18.HOG0000023	OG0000010	n6																	AAH_000132														AAZ_000130
N18.HOG0000024	OG0000010	n30																	AAH_000130														AAZ_000128
N18.HOG0000025	OG0000011	n24																	AAH_000133														AAZ_000131
N18.HOG0000026	OG0000012	n48																	AAH_000177														AAZ_000177
N18.HOG0000027	OG0000013	n3																	AAH_000138														AAZ_000136
N18.HOG0000028	OG0000013	n28																	AAH_000137														AAZ_000135
N18.HOG0000029	OG0000014	n0																	AAH_000174														AAZ_000174
N18.HOG0000030	OG0000015	n5																	AAH_000145														AAZ_000147
N18.HOG0000031	OG0000015	n31																	AAH_000144														AAZ_000146
N18.HOG0000032	OG0000016	n3																	AAH_000163														
N18.HOG0000033	OG0000016	n27																	AAH_000164														
N18.HOG0000034	OG0000017	n5																	AAH_000169														AAZ_000169
N18.HOG0000035	OG0000018	n2																	AAH_000134														AAZ_000132
N18.HOG0000036	OG0000019	n11																	AAH_000178														AAZ_000178
N18.HOG0000037	OG0000019	n20																	AAH_000179														AAZ_000179
N18.HOG0000038	OG0000020	n4																	AAH_000139														AAZ_000137
N18.HOG0000039	OG0000020	n26																															AAZ_000138
N18.HOG0000040	OG0000021	n10																															AAZ_000167
N18.HOG0000041	OG0000021	n19																	AAH_000167														AAZ_000166
N18.HOG0000042	OG0000022	n28																	AAH_000127														AAZ_000125
N18.HOG0000043	OG0000022	n30																	AAH_000126														AAZ_000124
N18.HOG0000044	OG0000023	n9																	AAH_000140														AAZ_000140
N18.HOG0000045	OG0000023	n21																															AAZ_000139
N18.HOG0000046	OG0000024	n6																	AAH_000171														AAZ_000171
N18.HOG0000047	OG0000024	n12																	AAH_000172														AAZ_000172
N18.HOG0000048	OG0000025	n9																	AAH_000173														AAZ_000173
N18.HOG0000049	OG0000026	n0																	AAH_000176														AAZ_000176
N18.HOG0000050	OG0000027	n0																	AAH_000146														AAZ_000148
N18.HOG0000051	OG0000028	n5																	AAH_000170														AAZ_000170
N18.HOG0000052	OG0000029	n0																	AAH_000175														AAZ_000175
N18.HOG0000053	OG0000030	n8																	AAH_000129														AAZ_000127
N18.HOG0000054	OG0000031	n3																															AAZ_000164
N18.HOG0000055	OG0000031	n25																	AAH_000165														AAZ_000163
N18.HOG0000056	OG0000032	n0																	AAH_000180														AAZ_000180
N18.HOG0000057	OG0000033	n0																	AAH_000160														AAZ_000159
N18.HOG0000058	OG0000034	n9																	AAH_000159														AAZ_000158
N18.HOG0000059	OG0000035	n0																	AAH_000166														AAZ_000165
N18.HOG0000060	OG0000036	n0																	AAH_000162														AAZ_000161
