HOG	OG	Gene Tree Parent Clade	Ref_Epa_from_V583_fai-gene-cluster-1	t10_fai-gene-cluster-1	t11_fai-gene-cluster-1	t12_fai-gene-cluster-1	t13_fai-gene-cluster-1	t14_fai-gene-cluster-1	t15_fai-gene-cluster-1	t16_fai-gene-cluster-1	t17_fai-gene-cluster-1	t18_fai-gene-cluster-1	t19_fai-gene-cluster-1	t1_fai-gene-cluster-1	t20_fai-gene-cluster-1	t21_fai-gene-cluster-1	t22_fai-gene-cluster-1	t23_fai-gene-cluster-1	t24_fai-gene-cluster-1	t25_fai-gene-cluster-1	t26_fai-gene-cluster-1	t27_fai-gene-cluster-1	t28_fai-gene-cluster-1	t29_fai-gene-cluster-1	t2_fai-gene-cluster-1	t30_fai-gene-cluster-1	t3_fai-gene-cluster-1	t4_fai-gene-cluster-1	t5_fai-gene-cluster-1	t6_fai-gene-cluster-1	t7_fai-gene-cluster-1	t8_fai-gene-cluster-1	t9_fai-gene-cluster-1
N1.HOG0000000	OG0000000	n2					AAT_000166													AAG_000160											AAC_000162		
N1.HOG0000001	OG0000000	n18																ABC_000137															
N1.HOG0000002	OG0000000	n21																		AAG_000161													
N1.HOG0000003	OG0000000	n56																													AAC_000161		
N1.HOG0000004	OG0000000	n61					AAT_000164											ABC_000136		AAG_000158											AAC_000160		
N1.HOG0000005	OG0000000	n95					AAT_000165													AAG_000159													
N1.HOG0000006	OG0000000	n118					AAT_000167											ABC_000138		AAG_000162											AAC_000163		
N1.HOG0000007	OG0000001	n1					AAT_000172											ABC_000142		AAG_000167											AAC_000167		
N1.HOG0000008	OG0000001	n41					AAT_000149											ABC_000127		AAG_000146											AAC_000147		
N1.HOG0000009	OG0000001	n80					AAT_000150											ABC_000128		AAG_000147											AAC_000148		
N1.HOG0000010	OG0000002	n9					AAT_000152													AAG_000149											AAC_000150		
N1.HOG0000011	OG0000002	n27					AAT_000153													AAG_000150											AAC_000151		
N1.HOG0000012	OG0000002	n57					AAT_000151													AAG_000148											AAC_000149		
N1.HOG0000013	OG0000003	n4					AAT_000161											ABC_000134		AAG_000155											AAC_000157		
N1.HOG0000014	OG0000003	n31					AAT_000163													AAG_000157											AAC_000159		
N1.HOG0000015	OG0000003	n69					AAT_000162													AAG_000156											AAC_000158		
N1.HOG0000016	OG0000004	n1					AAT_000136											ABC_000116		AAG_000133											AAC_000134		
N1.HOG0000017	OG0000004	n24					AAT_000135											ABC_000115		AAG_000132											AAC_000133		
N1.HOG0000018	OG0000005	n0					AAT_000168											ABC_000139		AAG_000163											AAC_000164		
N1.HOG0000019	OG0000006	n1					AAT_000145											ABC_000123		AAG_000142											AAC_000143		
N1.HOG0000020	OG0000006	n32					AAT_000144											ABC_000122		AAG_000141											AAC_000142		
N1.HOG0000021	OG0000007	n1																ABC_000133		AAG_000154											AAC_000156		
N1.HOG0000022	OG0000007	n12					AAT_000158																										
N1.HOG0000023	OG0000007	n30					AAT_000159, AAT_000160																										
N1.HOG0000024	OG0000008	n2																ABC_000132		AAG_000153											AAC_000155		
N1.HOG0000025	OG0000008	n12					AAT_000156																										
N1.HOG0000026	OG0000008	n26					AAT_000157																										
