HOG	OG	Gene Tree Parent Clade	Ref_Epa_from_V583_fai-gene-cluster-1	t10_fai-gene-cluster-1	t11_fai-gene-cluster-1	t12_fai-gene-cluster-1	t13_fai-gene-cluster-1	t14_fai-gene-cluster-1	t15_fai-gene-cluster-1	t16_fai-gene-cluster-1	t17_fai-gene-cluster-1	t18_fai-gene-cluster-1	t19_fai-gene-cluster-1	t1_fai-gene-cluster-1	t20_fai-gene-cluster-1	t21_fai-gene-cluster-1	t22_fai-gene-cluster-1	t23_fai-gene-cluster-1	t24_fai-gene-cluster-1	t25_fai-gene-cluster-1	t26_fai-gene-cluster-1	t27_fai-gene-cluster-1	t28_fai-gene-cluster-1	t29_fai-gene-cluster-1	t2_fai-gene-cluster-1	t30_fai-gene-cluster-1	t3_fai-gene-cluster-1	t4_fai-gene-cluster-1	t5_fai-gene-cluster-1	t6_fai-gene-cluster-1	t7_fai-gene-cluster-1	t8_fai-gene-cluster-1	t9_fai-gene-cluster-1
N21.HOG0000000	OG0000000	n8																						ABE_000194					AAW_000189				
N21.HOG0000001	OG0000000	n11																			AAM_000209							ABD_000222					
N21.HOG0000002	OG0000000	n13																										ABD_000223					
N21.HOG0000003	OG0000000	n25																			AAM_000210							ABD_000224					
N21.HOG0000004	OG0000000	n39															AAU_000195				AAM_000211							ABD_000225					
N21.HOG0000005	OG0000000	n63															AAU_000193							ABE_000193			AAK_000184						
N21.HOG0000006	OG0000000	n71																										ABD_000217					
N21.HOG0000007	OG0000000	n83																											AAW_000187				
N21.HOG0000008	OG0000000	n107																			AAM_000208							ABD_000219					
N21.HOG0000009	OG0000000	n130																									AAK_000188						
N21.HOG0000010	OG0000000	n133																									AAK_000187, AAK_000186						
N21.HOG0000011	OG0000001	n1															AAU_000199				AAM_000216			ABE_000198			AAK_000192	ABD_000230	AAW_000194				
N21.HOG0000012	OG0000001	n44															AAU_000174				AAM_000190			ABE_000173			AAK_000168	ABD_000198, ABD_000196	AAW_000168				
N21.HOG0000013	OG0000001	n60																			AAM_000192			ABE_000175			AAK_000170	ABD_000231, ABD_000199	AAW_000170				
N21.HOG0000014	OG0000001	n80															AAU_000175				AAM_000191			ABE_000174			AAK_000169	ABD_000197	AAW_000169				
N21.HOG0000015	OG0000002	n9															AAU_000177				AAM_000195			ABE_000178			AAK_000172		AAW_000173				
N21.HOG0000016	OG0000002	n39															AAU_000178				AAM_000196			ABE_000179				ABD_000201	AAW_000174				
N21.HOG0000017	OG0000002	n45																			AAM_000197							ABD_000202					
N21.HOG0000018	OG0000002	n62																			AAM_000194			ABE_000177					AAW_000172				
N21.HOG0000019	OG0000002	n70																			AAM_000193			ABE_000176				ABD_000200	AAW_000171				
N21.HOG0000020	OG0000002	n88															AAU_000176										AAK_000171						
N21.HOG0000021	OG0000003	n4															AAU_000190							ABE_000190			AAK_000181		AAW_000183				
N21.HOG0000022	OG0000003	n33															AAU_000191							ABE_000191			AAK_000182		AAW_000184				
N21.HOG0000023	OG0000003	n50																										ABD_000215					
N21.HOG0000024	OG0000003	n51															AAU_000192							ABE_000192			AAK_000183	ABD_000216	AAW_000185				
N21.HOG0000025	OG0000004	n1															AAU_000160				AAM_000179			ABE_000163			AAK_000157	ABD_000181	AAW_000159				
N21.HOG0000026	OG0000004	n29																										ABD_000178	AAW_000156				
