HOG	OG	Gene Tree Parent Clade	Ref_Epa_from_V583_fai-gene-cluster-1	t10_fai-gene-cluster-1	t11_fai-gene-cluster-1	t12_fai-gene-cluster-1	t13_fai-gene-cluster-1	t14_fai-gene-cluster-1	t15_fai-gene-cluster-1	t16_fai-gene-cluster-1	t17_fai-gene-cluster-1	t18_fai-gene-cluster-1	t19_fai-gene-cluster-1	t1_fai-gene-cluster-1	t20_fai-gene-cluster-1	t21_fai-gene-cluster-1	t22_fai-gene-cluster-1	t23_fai-gene-cluster-1	t24_fai-gene-cluster-1	t25_fai-gene-cluster-1	t26_fai-gene-cluster-1	t27_fai-gene-cluster-1	t28_fai-gene-cluster-1	t29_fai-gene-cluster-1	t2_fai-gene-cluster-1	t30_fai-gene-cluster-1	t3_fai-gene-cluster-1	t4_fai-gene-cluster-1	t5_fai-gene-cluster-1	t6_fai-gene-cluster-1	t7_fai-gene-cluster-1	t8_fai-gene-cluster-1	t9_fai-gene-cluster-1
N9.HOG0000000	OG0000000	n2																					AAF_000147										
N9.HOG0000001	OG0000000	n18																	AAH_000153														
N9.HOG0000002	OG0000000	n29			AAV_000163	AAA_000149						AAY_000158							AAH_000154				AAF_000148			AAL_000157							AAZ_000154
N9.HOG0000003	OG0000000	n61			AAV_000162	AAA_000147						AAY_000157							AAH_000151				AAF_000146			AAL_000156							AAZ_000153
N9.HOG0000004	OG0000000	n95				AAA_000148													AAH_000152														
N9.HOG0000005	OG0000000	n118										AAY_000159							AAH_000155				AAF_000149										AAZ_000155
N9.HOG0000006	OG0000001	n1			AAV_000149	AAA_000136						AAY_000141							AAH_000141				AAF_000135			AAL_000144							AAZ_000141
N9.HOG0000007	OG0000001	n38																	AAH_000161														AAZ_000160
N9.HOG0000008	OG0000001	n60			AAV_000150	AAA_000137																	AAF_000156										
N9.HOG0000009	OG0000001	n97			AAV_000168	AAA_000154						AAY_000163														AAL_000163							
N9.HOG0000010	OG0000002	n9										AAY_000143																					AAZ_000143
N9.HOG0000011	OG0000002	n29																															AAZ_000144
N9.HOG0000012	OG0000002	n35										AAY_000144																					AAZ_000145
N9.HOG0000013	OG0000002	n57										AAY_000142							AAH_000142				AAF_000136			AAL_000145							AAZ_000142
N9.HOG0000014	OG0000003	n4			AAV_000160	AAA_000145						AAY_000154							AAH_000150				AAF_000145			AAL_000154							AAZ_000152
N9.HOG0000015	OG0000003	n44			AAV_000161	AAA_000146						AAY_000155, AAY_000156														AAL_000155							
N9.HOG0000016	OG0000004	n1			AAV_000137							AAY_000128														AAL_000131							
N9.HOG0000017	OG0000004	n33			AAV_000136																					AAL_000130							
N9.HOG0000018	OG0000004	n35										AAY_000127																					
N9.HOG0000019	OG0000004	n44			AAV_000135							AAY_000126														AAL_000129							
N9.HOG0000020	OG0000004	n59				AAA_000124													AAH_000128				AAF_000122										AAZ_000126
N9.HOG0000021	OG0000005	n5				AAA_000150						AAY_000160																					
N9.HOG0000022	OG0000005	n11			AAV_000164														AAH_000156				AAF_000150			AAL_000158							AAZ_000156
N9.HOG0000023	OG0000005	n39																	AAH_000157				AAF_000151			AAL_000159							
