HOG	OG	Gene Tree Parent Clade	Ref_Epa_from_V583_fai-gene-cluster-1	t10_fai-gene-cluster-1	t11_fai-gene-cluster-1	t12_fai-gene-cluster-1	t13_fai-gene-cluster-1	t14_fai-gene-cluster-1	t15_fai-gene-cluster-1	t16_fai-gene-cluster-1	t17_fai-gene-cluster-1	t18_fai-gene-cluster-1	t19_fai-gene-cluster-1	t1_fai-gene-cluster-1	t20_fai-gene-cluster-1	t21_fai-gene-cluster-1	t22_fai-gene-cluster-1	t23_fai-gene-cluster-1	t24_fai-gene-cluster-1	t25_fai-gene-cluster-1	t26_fai-gene-cluster-1	t27_fai-gene-cluster-1	t28_fai-gene-cluster-1	t29_fai-gene-cluster-1	t2_fai-gene-cluster-1	t30_fai-gene-cluster-1	t3_fai-gene-cluster-1	t4_fai-gene-cluster-1	t5_fai-gene-cluster-1	t6_fai-gene-cluster-1	t7_fai-gene-cluster-1	t8_fai-gene-cluster-1	t9_fai-gene-cluster-1
N20.HOG0000000	OG0000000	n44		ABB_000174																													
N20.HOG0000001	OG0000000	n71		ABB_000170																													
N20.HOG0000002	OG0000000	n83		ABB_000171																													
N20.HOG0000003	OG0000000	n86																												AAX_000158			
N20.HOG0000004	OG0000000	n130		ABB_000175																										AAX_000161			
N20.HOG0000005	OG0000000	n133																												AAX_000160			
N20.HOG0000006	OG0000001	n1		ABB_000158																										AAX_000148			
N20.HOG0000007	OG0000001	n80		ABB_000180																										AAX_000165			
N20.HOG0000008	OG0000002	n29		ABB_000161																													
N20.HOG0000009	OG0000002	n35		ABB_000162																										AAX_000150			
N20.HOG0000010	OG0000002	n60		ABB_000160																										AAX_000149			
N20.HOG0000011	OG0000003	n2		ABB_000169																													
N20.HOG0000012	OG0000003	n4																												AAX_000156			
N20.HOG0000013	OG0000003	n44																												AAX_000157			
N20.HOG0000014	OG0000004	n1		ABB_000144																										AAX_000132			
N20.HOG0000015	OG0000004	n35																												AAX_000131			
N20.HOG0000016	OG0000004	n44																												AAX_000130			
N20.HOG0000017	OG0000005	n27		ABB_000176																													
N20.HOG0000018	OG0000005	n56		ABB_000177																													
N20.HOG0000019	OG0000006	n1		ABB_000153																										AAX_000142			
N20.HOG0000020	OG0000006	n32																												AAX_000141			
N20.HOG0000021	OG0000007	n8																												AAX_000155			
N20.HOG0000022	OG0000007	n12		ABB_000167																													
N20.HOG0000023	OG0000007	n41		ABB_000168																													
N20.HOG0000024	OG0000008	n7		ABB_000166																										AAX_000154			
N20.HOG0000025	OG0000009	n3		ABB_000185																										AAX_000171			
N20.HOG0000026	OG0000009	n28		ABB_000186																										AAX_000172			
N20.HOG0000027	OG0000010	n1		ABB_000148, ABB_000149																										AAX_000136			
N20.HOG0000028	OG0000010	n30		ABB_000147																										AAX_000135			
N20.HOG0000029	OG0000011	n1		ABB_000150																										AAX_000138			
N20.HOG0000030	OG0000011	n37																												AAX_000137			
N20.HOG0000031	OG0000012	n3		ABB_000199, ABB_000200																										AAX_000182			
N20.HOG0000032	OG0000012	n35		ABB_000201																										AAX_000183			
N20.HOG0000033	OG0000013	n3		ABB_000155																										AAX_000144			
N20.HOG0000034	OG0000013	n28		ABB_000154																										AAX_000143			
N20.HOG0000035	OG0000014	n15		ABB_000195																										AAX_000179			
N20.HOG0000036	OG0000014	n31		ABB_000194																										AAX_000178			
N20.HOG0000037	OG0000015	n5		ABB_000164																										AAX_000152			
N20.HOG0000038	OG0000015	n31		ABB_000163																										AAX_000151			
N20.HOG0000039	OG0000016	n3																												AAX_000167			
N20.HOG0000040	OG0000017	n14		ABB_000187																													
N20.HOG0000041	OG0000017	n33		ABB_000188																													
N20.HOG0000042	OG0000017	n34		ABB_000189																													
N20.HOG0000043	OG0000018	n2		ABB_000151																										AAX_000139			
N20.HOG0000044	OG0000018	n27		ABB_000152																										AAX_000140			
N20.HOG0000045	OG0000019	n20		ABB_000202																										AAX_000184			
N20.HOG0000046	OG0000020	n4		ABB_000156																										AAX_000145			
N20.HOG0000047	OG0000021	n19		ABB_000184																										AAX_000170			
N20.HOG0000048	OG0000022	n36																												AAX_000129			
N20.HOG0000049	OG0000023	n9																												AAX_000147			
N20.HOG0000050	OG0000023	n21		ABB_000157																										AAX_000146			
