HOG	OG	Gene Tree Parent Clade	Ref_Epa_from_V583_fai-gene-cluster-1	t10_fai-gene-cluster-1	t11_fai-gene-cluster-1	t12_fai-gene-cluster-1	t13_fai-gene-cluster-1	t14_fai-gene-cluster-1	t15_fai-gene-cluster-1	t16_fai-gene-cluster-1	t17_fai-gene-cluster-1	t18_fai-gene-cluster-1	t19_fai-gene-cluster-1	t1_fai-gene-cluster-1	t20_fai-gene-cluster-1	t21_fai-gene-cluster-1	t22_fai-gene-cluster-1	t23_fai-gene-cluster-1	t24_fai-gene-cluster-1	t25_fai-gene-cluster-1	t26_fai-gene-cluster-1	t27_fai-gene-cluster-1	t28_fai-gene-cluster-1	t29_fai-gene-cluster-1	t2_fai-gene-cluster-1	t30_fai-gene-cluster-1	t3_fai-gene-cluster-1	t4_fai-gene-cluster-1	t5_fai-gene-cluster-1	t6_fai-gene-cluster-1	t7_fai-gene-cluster-1	t8_fai-gene-cluster-1	t9_fai-gene-cluster-1
N4.HOG0000000	OG0000000	n18												AAI_000142	AAN_000142																		
N4.HOG0000001	OG0000000	n29												AAI_000143	AAN_000143																		
N4.HOG0000002	OG0000000	n61												AAI_000140	AAN_000141																		
N4.HOG0000003	OG0000000	n95												AAI_000141																			
N4.HOG0000004	OG0000000	n118												AAI_000144	AAN_000145, AAN_000144																		
N4.HOG0000005	OG0000001	n8												AAI_000148	AAN_000148																		
N4.HOG0000006	OG0000001	n9												AAI_000129																			
N4.HOG0000007	OG0000001	n60												AAI_000130																			
N4.HOG0000008	OG0000002	n57												AAI_000131																			
N4.HOG0000009	OG0000003	n4												AAI_000137																			
N4.HOG0000010	OG0000003	n33												AAI_000138																			
N4.HOG0000011	OG0000003	n44												AAI_000139																			
N4.HOG0000012	OG0000004	n24												AAI_000118	AAN_000122																		
N4.HOG0000013	OG0000005	n0												AAI_000145	AAN_000146																		
N4.HOG0000014	OG0000006	n1												AAI_000126	AAN_000130																		
N4.HOG0000015	OG0000006	n32												AAI_000125	AAN_000129																		
N4.HOG0000016	OG0000007	n1												AAI_000136	AAN_000139																		
N4.HOG0000017	OG0000008	n52												AAI_000135	AAN_000138																		
N4.HOG0000018	OG0000009	n3												AAI_000152	AAN_000153																		
N4.HOG0000019	OG0000009	n28												AAI_000153	AAN_000154																		
N4.HOG0000020	OG0000010	n1												AAI_000121	AAN_000124																		
N4.HOG0000021	OG0000011	n1												AAI_000123	AAN_000127																		
N4.HOG0000022	OG0000011	n24												AAI_000122																			
N4.HOG0000023	OG0000011	n37													AAN_000125																		
N4.HOG0000024	OG0000011	n45													AAN_000126																		
N4.HOG0000025	OG0000012	n26												AAI_000163	AAN_000162																		
N4.HOG0000026	OG0000013	n3												AAI_000127																			
N4.HOG0000027	OG0000013	n28													AAN_000131																		
N4.HOG0000028	OG0000014	n0												AAI_000160	AAN_000159																		
N4.HOG0000029	OG0000015	n5												AAI_000133	AAN_000136																		
N4.HOG0000030	OG0000016	n3												AAI_000150	AAN_000150																		
N4.HOG0000031	OG0000016	n19													AAN_000151																		
N4.HOG0000032	OG0000017	n0												AAI_000154	AAN_000155																		
N4.HOG0000033	OG0000018	n2												AAI_000124	AAN_000128																		
N4.HOG0000034	OG0000019	n0												AAI_000164	AAN_000163																		
N4.HOG0000035	OG0000020	n4												AAI_000128	AAN_000132																		
N4.HOG0000036	OG0000021	n0												AAI_000151	AAN_000152																		
N4.HOG0000037	OG0000022	n0												AAI_000117	AAN_000121																		
N4.HOG0000038	OG0000023	n0													AAN_000133																		
N4.HOG0000039	OG0000024	n0												AAI_000157	AAN_000157																		
N4.HOG0000040	OG0000025	n9												AAI_000158																			
N4.HOG0000041	OG0000025	n19												AAI_000159																			
N4.HOG0000042	OG0000026	n0												AAI_000162	AAN_000161																		
N4.HOG0000043	OG0000027	n0												AAI_000134	AAN_000137																		
N4.HOG0000044	OG0000028	n16												AAI_000156																			
N4.HOG0000045	OG0000028	n27												AAI_000155																			
N4.HOG0000046	OG0000029	n0												AAI_000161	AAN_000160																		
N4.HOG0000047	OG0000030	n8												AAI_000119																			
N4.HOG0000048	OG0000030	n20												AAI_000120																			
N4.HOG0000049	OG0000032	n0												AAI_000165	AAN_000164																		
N4.HOG0000050	OG0000033	n0												AAI_000147	AAN_000147																		
N4.HOG0000051	OG0000034	n24												AAI_000146																			
N4.HOG0000052	OG0000036	n0												AAI_000149	AAN_000149																		
