Orthogroup	t11_fai-gene-cluster-1	t13_fai-gene-cluster-1
OG0000000	AAV_000162	AAT_000164
OG0000001	AAV_000149	AAT_000172
OG0000002	AAV_000151	AAT_000151, AAT_000152, AAT_000153
OG0000003	AAV_000160	AAT_000161
OG0000003	AAV_000161	AAT_000163
OG0000004	AAV_000136, AAV_000135	AAT_000135
OG0000004	AAV_000137	AAT_000136
OG0000005	AAV_000165	AAT_000168
OG0000006	AAV_000144	AAT_000144
OG0000007	AAV_000159	AAT_000160
OG0000007	AAV_000157	AAT_000158
OG0000008	AAV_000155	AAT_000156
OG0000008	AAV_000156	AAT_000157
OG0000009	AAV_000177	AAT_000177
OG0000009	AAV_000178	AAT_000178
OG0000010	AAV_000140	AAT_000138
OG0000010	AAV_000141	AAT_000139
OG0000011	AAV_000142	AAT_000141, AAT_000140
OG0000012	AAV_000187	AAT_000187, AAT_000188, AAT_000186
OG0000013	AAV_000145	AAT_000146
OG0000014	AAV_000184	AAT_000183
OG0000015	AAV_000152	AAT_000154
OG0000016	AAV_000172	AAT_000175
OG0000016	AAV_000170	AAT_000174
OG0000017	AAV_000180, AAV_000181	AAT_000179
OG0000018	AAV_000143	AAT_000142
OG0000019	AAV_000188	AAT_000189
OG0000020	AAV_000147	AAT_000147
OG0000021	AAV_000176	AAT_000176
OG0000022	AAV_000134	AAT_000134
OG0000023	AAV_000148	AAT_000148
OG0000025	AAV_000183	AAT_000182
OG0000026	AAV_000186	AAT_000185
OG0000027	AAV_000154	AAT_000155
OG0000028	AAV_000182	AAT_000180
OG0000029	AAV_000185	AAT_000184
OG0000030	AAV_000139	AAT_000137
OG0000032	AAV_000189	AAT_000190
OG0000033	AAV_000167	AAT_000171
OG0000034	AAV_000166	AAT_000170
OG0000036	AAV_000169	AAT_000173
