Orthogroup	t11_fai-gene-cluster-1	t1_fai-gene-cluster-1
OG0000000	AAV_000162	AAI_000140
OG0000000	AAV_000163	AAI_000143
OG0000001	AAV_000150	AAI_000130
OG0000001	AAV_000149	AAI_000148
OG0000002	AAV_000151	AAI_000131, AAI_000132
OG0000003	AAV_000160	AAI_000137
OG0000003	AAV_000161	AAI_000139
OG0000004	AAV_000136, AAV_000135	AAI_000118
OG0000005	AAV_000165	AAI_000145
OG0000006	AAV_000144	AAI_000125
OG0000007	AAV_000158, AAV_000159, AAV_000157	AAI_000136
OG0000008	AAV_000156	AAI_000135
OG0000009	AAV_000177	AAI_000152
OG0000009	AAV_000178	AAI_000153
OG0000010	AAV_000141	AAI_000121
OG0000011	AAV_000142	AAI_000123, AAI_000122
OG0000012	AAV_000187	AAI_000163
OG0000013	AAV_000145	AAI_000127
OG0000014	AAV_000184	AAI_000160
OG0000015	AAV_000153	AAI_000133
OG0000016	AAV_000170	AAI_000150
OG0000017	AAV_000180, AAV_000181	AAI_000154
OG0000018	AAV_000143	AAI_000124
OG0000019	AAV_000188	AAI_000164
OG0000020	AAV_000147	AAI_000128
OG0000021	AAV_000176	AAI_000151
OG0000022	AAV_000134	AAI_000117
OG0000025	AAV_000183	AAI_000158, AAI_000159
OG0000026	AAV_000186	AAI_000162
OG0000027	AAV_000154	AAI_000134
OG0000028	AAV_000182	AAI_000155
OG0000029	AAV_000185	AAI_000161
OG0000030	AAV_000139	AAI_000120
OG0000030	AAV_000138	AAI_000119
OG0000032	AAV_000189	AAI_000165
OG0000033	AAV_000167	AAI_000147
OG0000034	AAV_000166	AAI_000146
OG0000036	AAV_000169	AAI_000149
