Orthogroup	t11_fai-gene-cluster-1	Ref_Epa_from_V583_fai-gene-cluster-1
OG0000000	AAV_000162	AAB_000124
OG0000000	AAV_000163	AAB_000125
OG0000001	AAV_000149	AAB_000129, AAB_000117
OG0000002	AAV_000151	AAB_000118
OG0000003	AAV_000160	AAB_000123
OG0000004	AAV_000136, AAV_000135	AAB_000108
OG0000005	AAV_000165	AAB_000126
OG0000007	AAV_000158, AAV_000159, AAV_000157	AAB_000122
OG0000008	AAV_000156	AAB_000121
OG0000009	AAV_000177, AAV_000178	AAB_000135
OG0000010	AAV_000140, AAV_000141	AAB_000110
OG0000011	AAV_000142	AAB_000111
OG0000012	AAV_000187	AAB_000143
OG0000013	AAV_000145, AAV_000146	AAB_000114
OG0000014	AAV_000184	AAB_000140
OG0000015	AAV_000152, AAV_000153	AAB_000119
OG0000016	AAV_000170	AAB_000131
OG0000017	AAV_000180, AAV_000181	AAB_000136
OG0000018	AAV_000143	AAB_000112
OG0000019	AAV_000188	AAB_000144
OG0000020	AAV_000147	AAB_000115
OG0000021	AAV_000176	AAB_000134
OG0000022	AAV_000134	AAB_000107
OG0000023	AAV_000148	AAB_000116
OG0000025	AAV_000183	AAB_000139
OG0000026	AAV_000186	AAB_000142
OG0000027	AAV_000154	AAB_000120
OG0000028	AAV_000182	AAB_000137
OG0000029	AAV_000185	AAB_000141
OG0000030	AAV_000139	AAB_000109
OG0000031	AAV_000173	AAB_000132
OG0000032	AAV_000189	AAB_000145
OG0000033	AAV_000167	AAB_000128
OG0000034	AAV_000166	AAB_000127
OG0000035	AAV_000175	AAB_000133
OG0000036	AAV_000169	AAB_000130
