Orthogroup	t27_fai-gene-cluster-1	Ref_Epa_from_V583_fai-gene-cluster-1
OG0000000	AAP_000191	AAB_000125
OG0000000	AAP_000187, AAP_000188	AAB_000124
OG0000001	AAP_000197	AAB_000117, AAB_000129
OG0000002	AAP_000177	AAB_000118
OG0000003	AAP_000183	AAB_000123
OG0000004	AAP_000159, AAP_000160, AAP_000158	AAB_000108
OG0000005	AAP_000193, AAP_000194	AAB_000126
OG0000006	AAP_000170	AAB_000113
OG0000007	AAP_000181, AAP_000182	AAB_000122
OG0000009	AAP_000203	AAB_000135
OG0000010	AAP_000163	AAB_000110
OG0000011	AAP_000164, AAP_000165	AAB_000111
OG0000012	AAP_000213, AAP_000214	AAB_000143
OG0000013	AAP_000172	AAB_000114
OG0000014	AAP_000210, AAP_000209	AAB_000140
OG0000015	AAP_000178	AAB_000119
OG0000017	AAP_000204	AAB_000136
OG0000019	AAP_000215	AAB_000144
OG0000020	AAP_000173	AAB_000115
OG0000023	AAP_000174	AAB_000116
OG0000024	AAP_000207	AAB_000138
OG0000025	AAP_000208	AAB_000139
OG0000026	AAP_000212	AAB_000142
OG0000027	AAP_000180, AAP_000179	AAB_000120
OG0000028	AAP_000206, AAP_000205	AAB_000137
OG0000029	AAP_000211	AAB_000141
OG0000032	AAP_000216	AAB_000145
OG0000033	AAP_000196	AAB_000128
OG0000034	AAP_000195	AAB_000127
