Orthogroup	t4_fai-gene-cluster-1	Ref_Epa_from_V583_fai-gene-cluster-1
OG0000000	ABD_000217	AAB_000124
OG0000000	ABD_000225	AAB_000125
OG0000001	ABD_000230	AAB_000129, AAB_000117
OG0000002	ABD_000201, ABD_000202	AAB_000118
OG0000004	ABD_000178, ABD_000180, ABD_000179	AAB_000108
OG0000005	ABD_000228	AAB_000126
OG0000006	ABD_000189	AAB_000113
OG0000007	ABD_000213, ABD_000211, ABD_000214, ABD_000212	AAB_000122
OG0000008	ABD_000209, ABD_000210	AAB_000121
OG0000009	ABD_000240, ABD_000241	AAB_000135
OG0000010	ABD_000182	AAB_000110
OG0000012	ABD_000252, ABD_000253, ABD_000251	AAB_000143
OG0000013	ABD_000190	AAB_000114
OG0000014	ABD_000248, ABD_000247	AAB_000140
OG0000015	ABD_000205, ABD_000204, ABD_000206	AAB_000119
OG0000016	ABD_000233	AAB_000131
OG0000017	ABD_000243	AAB_000136
OG0000019	ABD_000254	AAB_000144
OG0000020	ABD_000191, ABD_000192, ABD_000193	AAB_000115
OG0000021	ABD_000238	AAB_000134
OG0000022	ABD_000177	AAB_000107
OG0000023	ABD_000194, ABD_000195	AAB_000116
OG0000024	ABD_000245	AAB_000138
OG0000025	ABD_000246	AAB_000139
OG0000026	ABD_000250	AAB_000142
OG0000027	ABD_000207	AAB_000120
OG0000028	ABD_000244	AAB_000137
OG0000029	ABD_000249	AAB_000141
OG0000031	ABD_000236	AAB_000132
OG0000032	ABD_000256, ABD_000255	AAB_000145
OG0000033	ABD_000229	AAB_000128
OG0000035	ABD_000237	AAB_000133
OG0000036	ABD_000232	AAB_000130
