Orthogroup	Duplications (all)	Duplications (50% support)
OG0000000	29	3
OG0000001	10	3
OG0000002	5	2
OG0000003	6	1
OG0000004	5	1
OG0000005	5	1
OG0000006	3	1
OG0000007	4	1
OG0000008	2	0
OG0000009	2	1
OG0000010	3	1
OG0000011	5	0
OG0000012	3	1
OG0000013	1	1
OG0000014	1	1
OG0000015	3	1
OG0000016	2	0
OG0000017	5	0
OG0000018	2	0
OG0000019	1	0
OG0000020	2	0
OG0000021	2	0
OG0000022	2	0
OG0000023	1	0
OG0000024	1	0
OG0000025	1	0
OG0000026	1	0
OG0000027	1	0
OG0000028	1	0
OG0000029	1	0
OG0000030	2	0
OG0000031	1	0
OG0000032	1	0
OG0000033	0	0
OG0000034	1	0
OG0000035	1	0
