Orthogroup	t24_fai-gene-cluster-1	t21_fai-gene-cluster-1
OG0000000	AAH_000153, AAH_000154	AAS_000186
OG0000000	AAH_000151	AAS_000184
OG0000000	AAH_000152	AAS_000185
OG0000000	AAH_000155	AAS_000187, AAS_000188
OG0000001	AAH_000141	AAS_000193
OG0000001	AAH_000161	AAS_000165, AAS_000167, AAS_000194, AAS_000166
OG0000002	AAH_000143	AAS_000170, AAS_000172
OG0000002	AAH_000142	AAS_000168
OG0000003	AAH_000150	AAS_000181
OG0000004	AAH_000128	AAS_000151, AAS_000150
OG0000005	AAH_000156	AAS_000189
OG0000005	AAH_000157	AAS_000190
OG0000006	AAH_000136	AAS_000160
OG0000006	AAH_000135	AAS_000159
OG0000007	AAH_000148, AAH_000149	AAS_000180
OG0000009	AAH_000168	AAS_000198
OG0000010	AAH_000132	AAS_000155
OG0000011	AAH_000133	AAS_000156
OG0000013	AAH_000138	AAS_000162
OG0000013	AAH_000137	AAS_000161
OG0000014	AAH_000174	AAS_000204, AAS_000203
OG0000015	AAH_000145, AAH_000144	AAS_000173
OG0000016	AAH_000163, AAH_000164	AAS_000195
OG0000017	AAH_000169	AAS_000200
OG0000018	AAH_000134	AAS_000158
OG0000019	AAH_000179	AAS_000208
OG0000020	AAH_000139	AAS_000163
OG0000023	AAH_000140	AAS_000164
OG0000024	AAH_000171	AAS_000201
OG0000025	AAH_000173	AAS_000202
OG0000026	AAH_000176	AAS_000206
OG0000027	AAH_000146	AAS_000175, AAS_000174
OG0000029	AAH_000175	AAS_000205
OG0000030	AAH_000129	AAS_000153
OG0000032	AAH_000180	AAS_000209
OG0000033	AAH_000160	AAS_000192
OG0000034	AAH_000159	AAS_000191
