Orthogroup	t29_fai-gene-cluster-1	t17_fai-gene-cluster-1
OG0000000	ABE_000193	AAO_000218
OG0000000	ABE_000194	AAO_000225, AAO_000226, AAO_000227
OG0000001	ABE_000173	AAO_000203
OG0000001	ABE_000175	AAO_000238
OG0000001	ABE_000174	AAO_000204
OG0000001	ABE_000198	AAO_000237
OG0000002	ABE_000176	AAO_000205
OG0000002	ABE_000177	AAO_000206
OG0000002	ABE_000178	AAO_000207
OG0000003	ABE_000190	AAO_000215
OG0000003	ABE_000191	AAO_000216
OG0000003	ABE_000192	AAO_000217
OG0000004	ABE_000163	AAO_000188
OG0000005	ABE_000195	AAO_000231
OG0000005	ABE_000196	AAO_000233
OG0000006	ABE_000168	AAO_000198
OG0000006	ABE_000167	AAO_000197
OG0000007	ABE_000189	AAO_000214
OG0000007	ABE_000188	AAO_000213
OG0000008	ABE_000185	AAO_000211
OG0000008	ABE_000186, ABE_000187	AAO_000212
OG0000009	ABE_000207	AAO_000245
OG0000010	ABE_000164	AAO_000189
OG0000011	ABE_000165	AAO_000194
OG0000012	ABE_000217	AAO_000258
OG0000012	ABE_000216	AAO_000257
OG0000013	ABE_000169	AAO_000199, AAO_000200
OG0000014	ABE_000213	AAO_000253
OG0000014	ABE_000212	AAO_000252
OG0000016	ABE_000200	AAO_000240
OG0000017	ABE_000208	AAO_000246, AAO_000247
OG0000018	ABE_000166	AAO_000195
OG0000019	ABE_000219	AAO_000259
OG0000020	ABE_000171	AAO_000201
OG0000021	ABE_000205, ABE_000204	AAO_000244
OG0000022	ABE_000160	AAO_000187
OG0000023	ABE_000172	AAO_000202
OG0000024	ABE_000210	AAO_000249
OG0000025	ABE_000211	AAO_000251
OG0000026	ABE_000215	AAO_000256
OG0000027	ABE_000184	AAO_000210
OG0000028	ABE_000209	AAO_000248
OG0000029	ABE_000214	AAO_000254, AAO_000255
OG0000031	ABE_000202	AAO_000242
OG0000031	ABE_000201	AAO_000241
OG0000032	ABE_000220	AAO_000260
OG0000033	ABE_000197	AAO_000236
OG0000035	ABE_000203	AAO_000243
