Orthogroup	t29_fai-gene-cluster-1	t19_fai-gene-cluster-1
OG0000000	ABE_000193	AAR_000200
OG0000000	ABE_000194	AAR_000203, AAR_000204, AAR_000205
OG0000001	ABE_000175	AAR_000187
OG0000001	ABE_000198	AAR_000214, AAR_000186
OG0000002	ABE_000176	AAR_000188
OG0000002	ABE_000178	AAR_000189
OG0000003	ABE_000190	AAR_000197
OG0000003	ABE_000191	AAR_000198
OG0000003	ABE_000192	AAR_000199
OG0000004	ABE_000161	AAR_000168
OG0000004	ABE_000163	AAR_000169
OG0000005	ABE_000195	AAR_000209
OG0000005	ABE_000196	AAR_000210
OG0000006	ABE_000168	AAR_000180
OG0000006	ABE_000167	AAR_000179
OG0000007	ABE_000189	AAR_000196
OG0000007	ABE_000188	AAR_000195
OG0000008	ABE_000186, ABE_000187	AAR_000193
OG0000009	ABE_000207	AAR_000222
OG0000010	ABE_000164	AAR_000171
OG0000011	ABE_000165	AAR_000176
OG0000012	ABE_000216	AAR_000231
OG0000013	ABE_000169	AAR_000181, AAR_000182
OG0000014	ABE_000213	AAR_000228
OG0000014	ABE_000212	AAR_000227
OG0000016	ABE_000200, ABE_000199	AAR_000216
OG0000017	ABE_000208	AAR_000223
OG0000018	ABE_000166	AAR_000177
OG0000019	ABE_000219	AAR_000232
OG0000020	ABE_000170	AAR_000183
OG0000020	ABE_000171	AAR_000184
OG0000021	ABE_000205, ABE_000204	AAR_000221
OG0000022	ABE_000160	AAR_000167
OG0000023	ABE_000172	AAR_000185
OG0000024	ABE_000210	AAR_000225
OG0000025	ABE_000211	AAR_000226
OG0000026	ABE_000215	AAR_000230
OG0000027	ABE_000184	AAR_000192
OG0000029	ABE_000214	AAR_000229
OG0000031	ABE_000202	AAR_000218
OG0000031	ABE_000201	AAR_000217
OG0000032	ABE_000220	AAR_000233
OG0000033	ABE_000197	AAR_000213
OG0000035	ABE_000203	AAR_000219
