MSA_Position	Major_Allele_Frequency
1	1.0
2	1.0
3	1.0
4	0.6933333333333334
5	0.7733333333333333
6	0.6533333333333333
7	0.6666666666666666
8	0.8933333333333333
9	0.8533333333333334
10	0.8933333333333333
11	1.0
12	0.8666666666666667
13	1.0
14	1.0
15	1.0
16	0.8666666666666667
17	1.0
18	0.7866666666666666
19	0.8933333333333333
20	1.0
21	0.8933333333333333
22	0.8933333333333333
23	1.0
24	0.8933333333333333
25	1.0
26	1.0
27	0.7733333333333333
28	1.0
29	1.0
30	0.7733333333333333
31	1.0
32	1.0
33	0.6533333333333333
34	1.0
35	1.0
36	0.88
37	1.0
38	1.0
39	0.8933333333333333
40	1.0
41	0.9866666666666667
42	1.0
43	0.88
44	0.88
45	0.8933333333333333
46	1.0
47	1.0
48	1.0
49	0.8933333333333333
50	1.0
51	0.92
52	0.7733333333333333
53	0.88
54	1.0
55	1.0
56	1.0
57	1.0
58	1.0
59	1.0
60	0.88
61	0.8533333333333334
62	1.0
63	0.7733333333333333
64	0.6666666666666666
65	0.6666666666666666
66	0.7866666666666666
67	1.0
68	1.0
69	0.6933333333333334
70	0.8933333333333333
71	1.0
72	0.8
73	0.8133333333333334
74	1.0
75	0.8133333333333334
76	0.7866666666666666
77	0.8666666666666667
78	0.7733333333333333
79	1.0
80	1.0
81	1.0
82	1.0
83	1.0
84	0.5333333333333333
85	1.0
86	0.8666666666666667
87	1.0
88	0.8933333333333333
89	0.8666666666666667
90	0.8666666666666667
91	0.7733333333333333
92	1.0
93	0.6666666666666666
94	1.0
95	1.0
96	0.8266666666666667
97	1.0
98	1.0
99	0.9733333333333334
100	0.7733333333333333
101	1.0
102	0.6133333333333333
103	0.92
104	1.0
105	0.68
106	0.6666666666666666
107	1.0
108	0.6533333333333333
109	0.9733333333333334
110	1.0
111	0.5333333333333333
112	0.8533333333333334
113	1.0
114	0.6266666666666667
115	1.0
116	1.0
117	1.0
118	1.0
119	1.0
120	0.6666666666666666
121	1.0
122	1.0
123	0.84
124	0.7866666666666666
125	1.0
126	0.7333333333333333
127	1.0
128	1.0
129	0.72
130	0.88
131	0.6666666666666666
132	0.8933333333333333
133	0.88
134	0.88
135	0.84
136	0.8933333333333333
137	0.8933333333333333
138	0.8533333333333334
139	0.7733333333333333
140	0.6666666666666666
141	0.8933333333333333
142	0.8666666666666667
143	1.0
144	0.7466666666666667
145	1.0
146	1.0
147	1.0
