HOG	OG	Gene Tree Parent Clade	Ref_Epa_from_V583_fai-gene-cluster-1	t10_fai-gene-cluster-1	t11_fai-gene-cluster-1	t12_fai-gene-cluster-1	t13_fai-gene-cluster-1	t14_fai-gene-cluster-1	t15_fai-gene-cluster-1	t16_fai-gene-cluster-1	t17_fai-gene-cluster-1	t18_fai-gene-cluster-1	t19_fai-gene-cluster-1	t1_fai-gene-cluster-1	t20_fai-gene-cluster-1	t21_fai-gene-cluster-1	t22_fai-gene-cluster-1	t23_fai-gene-cluster-1	t24_fai-gene-cluster-1	t25_fai-gene-cluster-1	t26_fai-gene-cluster-1	t27_fai-gene-cluster-1	t28_fai-gene-cluster-1	t29_fai-gene-cluster-1	t2_fai-gene-cluster-1	t30_fai-gene-cluster-1	t3_fai-gene-cluster-1	t4_fai-gene-cluster-1	t5_fai-gene-cluster-1	t6_fai-gene-cluster-1	t7_fai-gene-cluster-1	t8_fai-gene-cluster-1	t9_fai-gene-cluster-1
N22.HOG0000000	OG0000000	n6														AAS_000186						AAP_000191											
N22.HOG0000001	OG0000000	n13								ABA_000193																							
N22.HOG0000002	OG0000000	n50								ABA_000194																							
N22.HOG0000003	OG0000000	n71								ABA_000190												AAP_000187											
N22.HOG0000004	OG0000000	n83								ABA_000191												AAP_000188											
N22.HOG0000005	OG0000000	n96																				AAP_000189											
N22.HOG0000006	OG0000000	n105								ABA_000192						AAS_000185																	
N22.HOG0000007	OG0000000	n111																				AAP_000190											
N22.HOG0000008	OG0000000	n124								ABA_000195												AAP_000192											
N22.HOG0000009	OG0000000	n133														AAS_000187																	
N22.HOG0000010	OG0000001	n1								ABA_000199						AAS_000193						AAP_000197											
N22.HOG0000011	OG0000001	n44								ABA_000172						AAS_000165						AAP_000175											
N22.HOG0000012	OG0000001	n60								ABA_000174						AAS_000167																	
N22.HOG0000013	OG0000001	n78								ABA_000200						AAS_000194						AAP_000198											
N22.HOG0000014	OG0000001	n80								ABA_000173						AAS_000166																	
N22.HOG0000015	OG0000002	n9								ABA_000176						AAS_000169						AAP_000177											
N22.HOG0000016	OG0000002	n39								ABA_000177						AAS_000170																	
N22.HOG0000017	OG0000002	n45														AAS_000172																	
N22.HOG0000018	OG0000002	n62								ABA_000175												AAP_000176											
N22.HOG0000019	OG0000002	n70														AAS_000168																	
N22.HOG0000020	OG0000003	n4								ABA_000186						AAS_000181						AAP_000183											
N22.HOG0000021	OG0000003	n33								ABA_000187						AAS_000182						AAP_000184											
N22.HOG0000022	OG0000003	n50																				AAP_000185											
N22.HOG0000023	OG0000003	n51								ABA_000189						AAS_000183						AAP_000186											
N22.HOG0000024	OG0000004	n1								ABA_000160						AAS_000152						AAP_000161											
N22.HOG0000025	OG0000004	n31								ABA_000158												AAP_000159											
N22.HOG0000026	OG0000004	n35								ABA_000159						AAS_000151						AAP_000160											
N22.HOG0000027	OG0000004	n44								ABA_000157						AAS_000150						AAP_000158											
N22.HOG0000028	OG0000005	n14								ABA_000196						AAS_000189						AAP_000193											
N22.HOG0000029	OG0000005	n39								ABA_000197						AAS_000190						AAP_000194											
N22.HOG0000030	OG0000006	n1								ABA_000167						AAS_000160						AAP_000169, AAP_000170											
N22.HOG0000031	OG0000006	n32														AAS_000159						AAP_000168											
N22.HOG0000032	OG0000007	n12								ABA_000184																							
N22.HOG0000033	OG0000007	n36								ABA_000185												AAP_000181											
N22.HOG0000034	OG0000007	n41																				AAP_000182											
N22.HOG0000035	OG0000008	n12														AAS_000177																	
N22.HOG0000036	OG0000008	n29														AAS_000178																	
N22.HOG0000037	OG0000008	n35														AAS_000179																	
N22.HOG0000038	OG0000009	n3								ABA_000204						AAS_000198						AAP_000203											
N22.HOG0000039	OG0000009	n28								ABA_000205						AAS_000199																	
N22.HOG0000040	OG0000010	n1								ABA_000161						AAS_000155						AAP_000163											
N22.HOG0000041	OG0000011	n1								ABA_000164						AAS_000157						AAP_000166											
N22.HOG0000042	OG0000011	n37														AAS_000156						AAP_000164											
N22.HOG0000043	OG0000011	n45								ABA_000163, ABA_000162												AAP_000165											
N22.HOG0000044	OG0000012	n3								ABA_000216						AAS_000207						AAP_000213											
N22.HOG0000045	OG0000012	n47								ABA_000217												AAP_000214											
N22.HOG0000046	OG0000013	n3								ABA_000169						AAS_000162						AAP_000172											
N22.HOG0000047	OG0000013	n28								ABA_000168						AAS_000161						AAP_000171											
N22.HOG0000048	OG0000014	n15								ABA_000213						AAS_000204						AAP_000210											
N22.HOG0000049	OG0000014	n31								ABA_000212						AAS_000203						AAP_000209											
N22.HOG0000050	OG0000015	n5								ABA_000179																							
N22.HOG0000051	OG0000015	n44														AAS_000173						AAP_000178											
N22.HOG0000052	OG0000016	n41								ABA_000201						AAS_000195																	
N22.HOG0000053	OG0000017	n14								ABA_000206						AAS_000200																	
N22.HOG0000054	OG0000017	n34								ABA_000207												AAP_000204											
N22.HOG0000055	OG0000018	n2								ABA_000165						AAS_000158																	
N22.HOG0000056	OG0000018	n27								ABA_000166												AAP_000167											
N22.HOG0000057	OG0000019	n11								ABA_000218																							
N22.HOG0000058	OG0000019	n20								ABA_000219						AAS_000208						AAP_000215											
N22.HOG0000059	OG0000020	n4								ABA_000170						AAS_000163						AAP_000173											
N22.HOG0000060	OG0000021	n10								ABA_000203						AAS_000197						AAP_000202											
N22.HOG0000061	OG0000021	n36								ABA_000202						AAS_000196						AAP_000200											
N22.HOG0000062	OG0000022	n7								ABA_000156						AAS_000149						AAP_000157											
N22.HOG0000063	OG0000023	n6								ABA_000171						AAS_000164						AAP_000174											
N22.HOG0000064	OG0000024	n6														AAS_000201																	
N22.HOG0000065	OG0000024	n12								ABA_000210												AAP_000207											
N22.HOG0000066	OG0000025	n7														AAS_000202																	
N22.HOG0000067	OG0000025	n19								ABA_000211												AAP_000208											
N22.HOG0000068	OG0000026	n15								ABA_000215						AAS_000206						AAP_000212											
N22.HOG0000069	OG0000027	n22								ABA_000181						AAS_000175						AAP_000180											
N22.HOG0000070	OG0000027	n25								ABA_000180						AAS_000174						AAP_000179											
N22.HOG0000071	OG0000028	n16								ABA_000209												AAP_000206											
N22.HOG0000072	OG0000028	n27								ABA_000208												AAP_000205											
N22.HOG0000073	OG0000029	n26								ABA_000214						AAS_000205						AAP_000211											
N22.HOG0000074	OG0000030	n8														AAS_000154, AAS_000153																	
N22.HOG0000075	OG0000032	n23								ABA_000221																							
N22.HOG0000076	OG0000032	n25								ABA_000220																							
N22.HOG0000077	OG0000032	n27														AAS_000209						AAP_000216											
N22.HOG0000078	OG0000033	n0								ABA_000198						AAS_000192						AAP_000196											
N22.HOG0000079	OG0000034	n9														AAS_000191						AAP_000195											
N22.HOG0000080	OG0000037	n0								ABA_000182						AAS_000176																	
