HOG	OG	Gene Tree Parent Clade	Ref_Epa_from_V583_fai-gene-cluster-1	t10_fai-gene-cluster-1	t11_fai-gene-cluster-1	t12_fai-gene-cluster-1	t13_fai-gene-cluster-1	t14_fai-gene-cluster-1	t15_fai-gene-cluster-1	t16_fai-gene-cluster-1	t17_fai-gene-cluster-1	t18_fai-gene-cluster-1	t19_fai-gene-cluster-1	t1_fai-gene-cluster-1	t20_fai-gene-cluster-1	t21_fai-gene-cluster-1	t22_fai-gene-cluster-1	t23_fai-gene-cluster-1	t24_fai-gene-cluster-1	t25_fai-gene-cluster-1	t26_fai-gene-cluster-1	t27_fai-gene-cluster-1	t28_fai-gene-cluster-1	t29_fai-gene-cluster-1	t2_fai-gene-cluster-1	t30_fai-gene-cluster-1	t3_fai-gene-cluster-1	t4_fai-gene-cluster-1	t5_fai-gene-cluster-1	t6_fai-gene-cluster-1	t7_fai-gene-cluster-1	t8_fai-gene-cluster-1	t9_fai-gene-cluster-1
N6.HOG0000000	OG0000000	n2					AAT_000166																								AAC_000162		
N6.HOG0000001	OG0000000	n56																													AAC_000161		
N6.HOG0000002	OG0000000	n61					AAT_000164																								AAC_000160		
N6.HOG0000003	OG0000000	n95					AAT_000165																										
N6.HOG0000004	OG0000000	n118					AAT_000167																								AAC_000163		
N6.HOG0000005	OG0000001	n1					AAT_000172																								AAC_000167		
N6.HOG0000006	OG0000001	n41					AAT_000149																								AAC_000147		
N6.HOG0000007	OG0000001	n80					AAT_000150																								AAC_000148		
N6.HOG0000008	OG0000002	n9					AAT_000152																								AAC_000150		
N6.HOG0000009	OG0000002	n27					AAT_000153																								AAC_000151		
N6.HOG0000010	OG0000002	n57					AAT_000151																								AAC_000149		
N6.HOG0000011	OG0000003	n4					AAT_000161																								AAC_000157		
N6.HOG0000012	OG0000003	n31					AAT_000163																								AAC_000159		
N6.HOG0000013	OG0000003	n69					AAT_000162																								AAC_000158		
N6.HOG0000014	OG0000004	n1					AAT_000136																								AAC_000134		
N6.HOG0000015	OG0000004	n24					AAT_000135																								AAC_000133		
N6.HOG0000016	OG0000005	n0					AAT_000168																								AAC_000164		
N6.HOG0000017	OG0000006	n1					AAT_000145																								AAC_000143		
N6.HOG0000018	OG0000006	n32					AAT_000144																								AAC_000142		
N6.HOG0000019	OG0000007	n1																													AAC_000156		
N6.HOG0000020	OG0000007	n12					AAT_000158																										
N6.HOG0000021	OG0000007	n30					AAT_000159, AAT_000160																										
N6.HOG0000022	OG0000008	n2																													AAC_000155		
N6.HOG0000023	OG0000008	n12					AAT_000156																										
N6.HOG0000024	OG0000008	n26					AAT_000157																										
N6.HOG0000025	OG0000009	n3					AAT_000177																								AAC_000172		
N6.HOG0000026	OG0000009	n28					AAT_000178																								AAC_000173		
N6.HOG0000027	OG0000010	n1					AAT_000139																								AAC_000137		
N6.HOG0000028	OG0000010	n30					AAT_000138																								AAC_000136		
N6.HOG0000029	OG0000011	n1					AAT_000141																								AAC_000139		
N6.HOG0000030	OG0000011	n23					AAT_000140																								AAC_000138		
N6.HOG0000031	OG0000012	n3					AAT_000186																								AAC_000181		
N6.HOG0000032	OG0000012	n33					AAT_000187																										
N6.HOG0000033	OG0000012	n35					AAT_000188																								AAC_000182		
N6.HOG0000034	OG0000013	n0					AAT_000146																								AAC_000144		
N6.HOG0000035	OG0000014	n0					AAT_000183																								AAC_000178		
N6.HOG0000036	OG0000015	n2					AAT_000154																										
N6.HOG0000037	OG0000015	n5																													AAC_000153		
N6.HOG0000038	OG0000015	n31																													AAC_000152		
N6.HOG0000039	OG0000016	n3					AAT_000174																								AAC_000169		
N6.HOG0000040	OG0000016	n19					AAT_000175																								AAC_000170		
N6.HOG0000041	OG0000017	n0					AAT_000179																								AAC_000174		
N6.HOG0000042	OG0000018	n2					AAT_000142																								AAC_000140		
N6.HOG0000043	OG0000018	n27					AAT_000143																								AAC_000141		
N6.HOG0000044	OG0000019	n0					AAT_000189																								AAC_000183		
N6.HOG0000045	OG0000020	n0					AAT_000147																								AAC_000145		
N6.HOG0000046	OG0000021	n0					AAT_000176																								AAC_000171		
N6.HOG0000047	OG0000022	n0					AAT_000134																								AAC_000132		
N6.HOG0000048	OG0000023	n0					AAT_000148																								AAC_000146		
N6.HOG0000049	OG0000024	n0					AAT_000181																								AAC_000176		
N6.HOG0000050	OG0000025	n0					AAT_000182																								AAC_000177		
N6.HOG0000051	OG0000026	n0					AAT_000185																								AAC_000180		
N6.HOG0000052	OG0000027	n0					AAT_000155																								AAC_000154		
N6.HOG0000053	OG0000028	n0					AAT_000180																								AAC_000175		
N6.HOG0000054	OG0000029	n0					AAT_000184																								AAC_000179		
N6.HOG0000055	OG0000030	n0					AAT_000137																								AAC_000135		
N6.HOG0000056	OG0000032	n0					AAT_000190																								AAC_000184		
N6.HOG0000057	OG0000033	n0					AAT_000171																								AAC_000166		
N6.HOG0000058	OG0000034	n3					AAT_000169																								AAC_000165		
N6.HOG0000059	OG0000034	n9					AAT_000170																										
N6.HOG0000060	OG0000036	n0					AAT_000173																								AAC_000168		
