HOG	OG	Gene Tree Parent Clade	Ref_Epa_from_V583_fai-gene-cluster-1	t10_fai-gene-cluster-1	t11_fai-gene-cluster-1	t12_fai-gene-cluster-1	t13_fai-gene-cluster-1	t14_fai-gene-cluster-1	t15_fai-gene-cluster-1	t16_fai-gene-cluster-1	t17_fai-gene-cluster-1	t18_fai-gene-cluster-1	t19_fai-gene-cluster-1	t1_fai-gene-cluster-1	t20_fai-gene-cluster-1	t21_fai-gene-cluster-1	t22_fai-gene-cluster-1	t23_fai-gene-cluster-1	t24_fai-gene-cluster-1	t25_fai-gene-cluster-1	t26_fai-gene-cluster-1	t27_fai-gene-cluster-1	t28_fai-gene-cluster-1	t29_fai-gene-cluster-1	t2_fai-gene-cluster-1	t30_fai-gene-cluster-1	t3_fai-gene-cluster-1	t4_fai-gene-cluster-1	t5_fai-gene-cluster-1	t6_fai-gene-cluster-1	t7_fai-gene-cluster-1	t8_fai-gene-cluster-1	t9_fai-gene-cluster-1
N19.HOG0000000	OG0000000	n16						AAD_000210			AAO_000225																						
N19.HOG0000001	OG0000000	n25																														AAE_000222	
N19.HOG0000002	OG0000000	n44						AAD_000212			AAO_000227																					AAE_000224	
N19.HOG0000003	OG0000000	n50						AAD_000211			AAO_000226																					AAE_000223	
N19.HOG0000004	OG0000000	n56						AAD_000207			AAO_000221																					AAE_000218	
N19.HOG0000005	OG0000000	n61						AAD_000206			AAO_000218																					AAE_000216	
N19.HOG0000006	OG0000000	n96									AAO_000222																					AAE_000219	
N19.HOG0000007	OG0000000	n107						AAD_000208			AAO_000223																					AAE_000220	
N19.HOG0000008	OG0000000	n111						AAD_000209			AAO_000224																					AAE_000221	
N19.HOG0000009	OG0000000	n120									AAO_000228																					AAE_000225	
N19.HOG0000010	OG0000000	n126									AAO_000219																					AAE_000217	
N19.HOG0000011	OG0000000	n134						AAD_000214			AAO_000230																					AAE_000227	
N19.HOG0000012	OG0000000	n137						AAD_000213			AAO_000229																					AAE_000226	
N19.HOG0000013	OG0000001	n27						AAD_000221			AAO_000237																					AAE_000234	
N19.HOG0000014	OG0000001	n44						AAD_000190			AAO_000203																					AAE_000198	
N19.HOG0000015	OG0000001	n73						AAD_000222			AAO_000238																					AAE_000235	
N19.HOG0000016	OG0000001	n76						AAD_000192																									
N19.HOG0000017	OG0000001	n80						AAD_000191			AAO_000204																					AAE_000199	
N19.HOG0000018	OG0000002	n9						AAD_000195			AAO_000207																					AAE_000203	
N19.HOG0000019	OG0000002	n29						AAD_000196			AAO_000208																					AAE_000204	
N19.HOG0000020	OG0000002	n35						AAD_000197			AAO_000209																					AAE_000205	
N19.HOG0000021	OG0000002	n62						AAD_000194			AAO_000206																					AAE_000202	
N19.HOG0000022	OG0000002	n70						AAD_000193			AAO_000205																					AAE_000201	
N19.HOG0000023	OG0000003	n4						AAD_000203			AAO_000215																					AAE_000213	
N19.HOG0000024	OG0000003	n33						AAD_000204			AAO_000216																					AAE_000214	
N19.HOG0000025	OG0000003	n44						AAD_000205			AAO_000217																					AAE_000215	
N19.HOG0000026	OG0000004	n1						AAD_000174			AAO_000188																					AAE_000182	
N19.HOG0000027	OG0000005	n20						AAD_000217			AAO_000234																					AAE_000231	
N19.HOG0000028	OG0000005	n24									AAO_000232																					AAE_000229	
N19.HOG0000029	OG0000005	n27						AAD_000215			AAO_000231																					AAE_000228	
N19.HOG0000030	OG0000005	n39						AAD_000216			AAO_000233																					AAE_000230	
N19.HOG0000031	OG0000006	n1						AAD_000185			AAO_000198																					AAE_000192	
N19.HOG0000032	OG0000006	n32						AAD_000184			AAO_000197																					AAE_000191	
N19.HOG0000033	OG0000007	n12						AAD_000201			AAO_000213																					AAE_000211	
N19.HOG0000034	OG0000007	n31						AAD_000202			AAO_000214																					AAE_000212	
N19.HOG0000035	OG0000008	n12						AAD_000199			AAO_000211																					AAE_000208	
N19.HOG0000036	OG0000008	n29																														AAE_000209	
N19.HOG0000037	OG0000008	n35																														AAE_000210	
N19.HOG0000038	OG0000008	n42						AAD_000200			AAO_000212																						
N19.HOG0000039	OG0000009	n28						AAD_000230			AAO_000245																					AAE_000243	
N19.HOG0000040	OG0000010	n1						AAD_000180			AAO_000191																					AAE_000186	
N19.HOG0000041	OG0000010	n30						AAD_000179			AAO_000189																					AAE_000184	
N19.HOG0000042	OG0000011	n1						AAD_000182			AAO_000194																					AAE_000188	
N19.HOG0000043	OG0000011	n37						AAD_000181			AAO_000192																					AAE_000187	
N19.HOG0000044	OG0000011	n45									AAO_000193																						
N19.HOG0000045	OG0000012	n3						AAD_000240			AAO_000257																					AAE_000256	
N19.HOG0000046	OG0000012	n35									AAO_000258																					AAE_000257	
N19.HOG0000047	OG0000013	n3						AAD_000187			AAO_000200																					AAE_000194	
N19.HOG0000048	OG0000013	n28						AAD_000186			AAO_000199																					AAE_000193	
N19.HOG0000049	OG0000014	n15						AAD_000237			AAO_000253																					AAE_000251	
N19.HOG0000050	OG0000014	n31						AAD_000236			AAO_000252																					AAE_000250	
N19.HOG0000051	OG0000016	n23						AAD_000224																									
N19.HOG0000052	OG0000016	n27						AAD_000225			AAO_000240																					AAE_000237	
N19.HOG0000053	OG0000017	n14									AAO_000246																					AAE_000244	
N19.HOG0000054	OG0000017	n34									AAO_000247																					AAE_000245	
N19.HOG0000055	OG0000017	n42						AAD_000231																									
N19.HOG0000056	OG0000018	n2									AAO_000195																					AAE_000189	
N19.HOG0000057	OG0000018	n27						AAD_000183			AAO_000196																					AAE_000190	
N19.HOG0000058	OG0000019	n20						AAD_000241			AAO_000259																					AAE_000258	
N19.HOG0000059	OG0000020	n26						AAD_000188			AAO_000201																					AAE_000195	
N19.HOG0000060	OG0000021	n32						AAD_000229			AAO_000244																					AAE_000242	
