HOG	OG	Gene Tree Parent Clade	Ref_Epa_from_V583_fai-gene-cluster-1	t10_fai-gene-cluster-1	t11_fai-gene-cluster-1	t12_fai-gene-cluster-1	t13_fai-gene-cluster-1	t14_fai-gene-cluster-1	t15_fai-gene-cluster-1	t16_fai-gene-cluster-1	t17_fai-gene-cluster-1	t18_fai-gene-cluster-1	t19_fai-gene-cluster-1	t1_fai-gene-cluster-1	t20_fai-gene-cluster-1	t21_fai-gene-cluster-1	t22_fai-gene-cluster-1	t23_fai-gene-cluster-1	t24_fai-gene-cluster-1	t25_fai-gene-cluster-1	t26_fai-gene-cluster-1	t27_fai-gene-cluster-1	t28_fai-gene-cluster-1	t29_fai-gene-cluster-1	t2_fai-gene-cluster-1	t30_fai-gene-cluster-1	t3_fai-gene-cluster-1	t4_fai-gene-cluster-1	t5_fai-gene-cluster-1	t6_fai-gene-cluster-1	t7_fai-gene-cluster-1	t8_fai-gene-cluster-1	t9_fai-gene-cluster-1
N29.HOG0000000	OG0000000	n11																			AAM_000209							ABD_000222					
N29.HOG0000001	OG0000000	n13																										ABD_000223					
N29.HOG0000002	OG0000000	n25																			AAM_000210							ABD_000224					
N29.HOG0000003	OG0000000	n39																			AAM_000211							ABD_000225					
N29.HOG0000004	OG0000000	n71																										ABD_000217					
N29.HOG0000005	OG0000000	n107																			AAM_000208							ABD_000219					
N29.HOG0000006	OG0000001	n1																			AAM_000216							ABD_000230					
N29.HOG0000007	OG0000001	n44																			AAM_000190							ABD_000198, ABD_000196					
N29.HOG0000008	OG0000001	n60																			AAM_000192							ABD_000231, ABD_000199					
N29.HOG0000009	OG0000001	n80																			AAM_000191							ABD_000197					
N29.HOG0000010	OG0000002	n9																			AAM_000195												
N29.HOG0000011	OG0000002	n39																			AAM_000196							ABD_000201					
N29.HOG0000012	OG0000002	n45																			AAM_000197							ABD_000202					
N29.HOG0000013	OG0000002	n62																			AAM_000194												
N29.HOG0000014	OG0000002	n70																			AAM_000193							ABD_000200					
N29.HOG0000015	OG0000003	n50																										ABD_000215					
N29.HOG0000016	OG0000003	n51																										ABD_000216					
N29.HOG0000017	OG0000004	n1																			AAM_000179							ABD_000181					
N29.HOG0000018	OG0000004	n29																										ABD_000178					
N29.HOG0000019	OG0000004	n35																			AAM_000178							ABD_000180					
N29.HOG0000020	OG0000004	n44																			AAM_000177							ABD_000179					
N29.HOG0000021	OG0000005	n24																			AAM_000213							ABD_000227					
N29.HOG0000022	OG0000005	n27																			AAM_000212							ABD_000226					
N29.HOG0000023	OG0000005	n39																			AAM_000214							ABD_000228					
