HOG	OG	Gene Tree Parent Clade	Ref_Epa_from_V583_fai-gene-cluster-1	t10_fai-gene-cluster-1	t11_fai-gene-cluster-1	t12_fai-gene-cluster-1	t13_fai-gene-cluster-1	t14_fai-gene-cluster-1	t15_fai-gene-cluster-1	t16_fai-gene-cluster-1	t17_fai-gene-cluster-1	t18_fai-gene-cluster-1	t19_fai-gene-cluster-1	t1_fai-gene-cluster-1	t20_fai-gene-cluster-1	t21_fai-gene-cluster-1	t22_fai-gene-cluster-1	t23_fai-gene-cluster-1	t24_fai-gene-cluster-1	t25_fai-gene-cluster-1	t26_fai-gene-cluster-1	t27_fai-gene-cluster-1	t28_fai-gene-cluster-1	t29_fai-gene-cluster-1	t2_fai-gene-cluster-1	t30_fai-gene-cluster-1	t3_fai-gene-cluster-1	t4_fai-gene-cluster-1	t5_fai-gene-cluster-1	t6_fai-gene-cluster-1	t7_fai-gene-cluster-1	t8_fai-gene-cluster-1	t9_fai-gene-cluster-1
N12.HOG0000000	OG0000000	n29			AAV_000163	AAA_000149						AAY_000158														AAL_000157							
N12.HOG0000001	OG0000000	n61			AAV_000162	AAA_000147						AAY_000157														AAL_000156							
N12.HOG0000002	OG0000000	n95				AAA_000148																											
N12.HOG0000003	OG0000000	n118										AAY_000159																					
N12.HOG0000004	OG0000001	n1			AAV_000149	AAA_000136						AAY_000141														AAL_000144							
N12.HOG0000005	OG0000001	n60			AAV_000150	AAA_000137																											
N12.HOG0000006	OG0000001	n97			AAV_000168	AAA_000154						AAY_000163														AAL_000163							
N12.HOG0000007	OG0000002	n9										AAY_000143																					
N12.HOG0000008	OG0000002	n35										AAY_000144																					
N12.HOG0000009	OG0000002	n57										AAY_000142														AAL_000145							
N12.HOG0000010	OG0000003	n4			AAV_000160	AAA_000145						AAY_000154														AAL_000154							
N12.HOG0000011	OG0000003	n44			AAV_000161	AAA_000146						AAY_000155, AAY_000156														AAL_000155							
N12.HOG0000012	OG0000004	n1			AAV_000137							AAY_000128														AAL_000131							
N12.HOG0000013	OG0000004	n33			AAV_000136																					AAL_000130							
N12.HOG0000014	OG0000004	n35										AAY_000127																					
N12.HOG0000015	OG0000004	n44			AAV_000135							AAY_000126														AAL_000129							
N12.HOG0000016	OG0000004	n59				AAA_000124																											
N12.HOG0000017	OG0000005	n5				AAA_000150						AAY_000160																					
N12.HOG0000018	OG0000005	n11			AAV_000164																					AAL_000158							
N12.HOG0000019	OG0000005	n39																								AAL_000159							
N12.HOG0000020	OG0000005	n56			AAV_000165																					AAL_000160							
N12.HOG0000021	OG0000006	n1				AAA_000131						AAY_000135														AAL_000139							
N12.HOG0000022	OG0000006	n32			AAV_000144																					AAL_000138							
N12.HOG0000023	OG0000007	n12			AAV_000157							AAY_000151														AAL_000151							
N12.HOG0000024	OG0000007	n36			AAV_000158							AAY_000152														AAL_000152							
N12.HOG0000025	OG0000007	n41			AAV_000159							AAY_000153														AAL_000153							
N12.HOG0000026	OG0000008	n12			AAV_000155	AAA_000142						AAY_000148														AAL_000149							
N12.HOG0000027	OG0000008	n26										AAY_000150																					
N12.HOG0000028	OG0000008	n42			AAV_000156	AAA_000143						AAY_000149														AAL_000150							
N12.HOG0000029	OG0000009	n3			AAV_000177	AAA_000161						AAY_000170, AAY_000169														AAL_000172							
N12.HOG0000030	OG0000009	n28			AAV_000178							AAY_000171														AAL_000173							
N12.HOG0000031	OG0000010	n1			AAV_000141	AAA_000127						AAY_000132														AAL_000135							
N12.HOG0000032	OG0000010	n30			AAV_000140	AAA_000126						AAY_000131														AAL_000134							
N12.HOG0000033	OG0000011	n1				AAA_000129																											
N12.HOG0000034	OG0000011	n24			AAV_000142	AAA_000128						AAY_000133														AAL_000136							
N12.HOG0000035	OG0000012	n3																								AAL_000182							
N12.HOG0000036	OG0000012	n35																								AAL_000183							
N12.HOG0000037	OG0000012	n50			AAV_000187							AAY_000179																					
N12.HOG0000038	OG0000013	n3			AAV_000146	AAA_000132						AAY_000137														AAL_000141							
N12.HOG0000039	OG0000013	n28			AAV_000145							AAY_000136														AAL_000140							
N12.HOG0000040	OG0000014	n0			AAV_000184	AAA_000167						AAY_000176														AAL_000179							
