Orthogroup	t21_fai-gene-cluster-1	Ref_Epa_from_V583_fai-gene-cluster-1
OG0000000	AAS_000184	AAB_000124
OG0000000	AAS_000186	AAB_000125
OG0000001	AAS_000193	AAB_000129, AAB_000117
OG0000002	AAS_000169, AAS_000170, AAS_000172	AAB_000118
OG0000003	AAS_000181	AAB_000123
OG0000004	AAS_000151, AAS_000150	AAB_000108
OG0000005	AAS_000190	AAB_000126
OG0000006	AAS_000160	AAB_000113
OG0000007	AAS_000180	AAB_000122
OG0000008	AAS_000178, AAS_000179	AAB_000121
OG0000009	AAS_000198, AAS_000199	AAB_000135
OG0000010	AAS_000155	AAB_000110
OG0000012	AAS_000207	AAB_000143
OG0000013	AAS_000161, AAS_000162	AAB_000114
OG0000014	AAS_000204, AAS_000203	AAB_000140
OG0000015	AAS_000173	AAB_000119
OG0000016	AAS_000195	AAB_000131
OG0000017	AAS_000200	AAB_000136
OG0000019	AAS_000208	AAB_000144
OG0000020	AAS_000163	AAB_000115
OG0000022	AAS_000149	AAB_000107
OG0000023	AAS_000164	AAB_000116
OG0000024	AAS_000201	AAB_000138
OG0000025	AAS_000202	AAB_000139
OG0000026	AAS_000206	AAB_000142
OG0000027	AAS_000175, AAS_000174	AAB_000120
OG0000029	AAS_000205	AAB_000141
OG0000030	AAS_000154	AAB_000109
OG0000032	AAS_000209	AAB_000145
OG0000033	AAS_000192	AAB_000128
OG0000034	AAS_000191	AAB_000127
