Ortholog Group (OG) ID	OG is Single Copy?	Proportion of Total Gene Clusters with OG	OG Median Length (bp)	OG Consensus Order	OG Consensus Direction	Tajima's D	Proportion of Filtered Codon Alignment is Segregating Sites	Entropy	Upstream Region Entropy	Median Beta-RD-gc	Max Beta-RD-gc	Proportion of sites which are highly ambiguous in codon alignment	Proportion of sites which are highly ambiguous in trimmed codon alignment	Median GC	Median GC Skew	GARD Partitions Based on Recombination Breakpoints	Number of Sites Identified as Under Positive or Negative Selection by FUBAR	Average delta(Beta, Alpha) by FUBAR across sites	Proportion of Sites Under Selection which are Positive	Custom Annotation (E-value)	KO Annotation (E-value)	PGAP Annotation (E-value)	PaperBLAST Annotation (E-value)	CARD Annotation (E-value)	IS Finder (E-value)	MI-BiG Annotation (E-value)	VOG Annotation (E-value)	VFDB Annotation (E-value)	Pfam Domains
OG_1	True	0.466666667	1812	20	"-"	2.104103394	0.681514477	0.303932327	0.206627722	0.552751976	1.003367612	0.26272578	0	0.300220751	-0.170909091	NA	232	-2.865215548	0.012931034	EF2164 (0.0)	glycosyltransferase 2 family protein (0.00000557364455000937)	NA	VIMSS356317 (0.0)	NA	NA	NA	NA	NA	Family of unknown function (DUF6056)
OG_46	True	1	951	23	"-"	0.165203688	0.136075949	0.034673113	0.508875321	0.986945646	1.003623188	0.039513678	0	0.370136698	-0.096590909	NA	66	-2.120411656	0.106060606	EF2165 (8.83e-227)	UDP-N-acetylglucosamine/UDP-N-acetyl-alpha-D-glucosaminouronate 4-epimerase [EC:5.1.3.7 5.1.3.45] (2.4409116029121614E-97)	UDP-glucose 4-epimerase GalE (1.7146546208562085E-54)	WP_002356922.1 (4.54E-223)	NA	NA	BGC0001947|c1|6292-7332|+|AWL83831.1|Gne2|AWL83831.1 (8.77E-55)	sp|Q9EQC1|3BHS7_MOUSE 3 beta-hydroxysteroid dehydrogenase type 7[Xh] (3.3160061220572347E-85)	VFG047147(gb|WP_003027881) (wbtF) NAD dependent epimerase [LPS (VF0542) - Immune modulation (VFC0258)] [Francisella tularensis subsp. mediasiatica FSC147]; VFG047149(gb|WP_003029668) (wbtF) NAD dependent epimerase [LPS (VF0542) - Immune modulation (VFC0258)] [Francisella tularensis subsp. tularensis SCHU S4]; VFG047144(gb|WP_010030803) (wbtF) NAD dependent epimerase [LPS (VF0542) - Immune modulation (VFC0258)] [Francisella tularensis subsp. holarctica FTNF002-00] (1.51E-60)	3-beta hydroxysteroid dehydrogenase/isomerase family; NAD dependent epimerase/dehydratase family; GDP-mannose 4,6 dehydratase; Male sterility protein; Polysaccharide biosynthesis protein; RmlD substrate binding domain
OG_47	True	0.386666667	1422	31	"-"	1.016812461	0.063424947	0.022163017	0.277016782	0.99696346	1.005850319	0	0	0.313642757	-0.219512195	NA	41	-3.39450687	0	EF2166 (0.0)	NA	NA	Q832Q4 (0.0)	NA	NA	NA	NA	VFG016373(gb|WP_001108298) (BC_RS26255) oligosaccharide flippase family protein [Polysaccharide capsule (VF0659) - Immune modulation (VFC0258)] [Bacillus cereus ATCC 14579] (3.92E-114)	NA
OG_48	True	0.293333333	972	33	"-"	1.699010354	0.069143447	0.027796813	0.016225562	0.990343382	1.003894854	0	0	0.308641975	-0.22	NA	20	-2.917516277	0.05	EF2167 (4.87e-237)	rhamnosyltransferase (1.594016545007977E-28)	poly-beta-1,6-N-acetyl-D-glucosamine synthase (4.089713722484036E-8)	VIMSS356320 (1.37E-232)	NA	NA	BGC0000796|c1|21678-22622|+|ADG29298.1|putative_rhamnosyltransferase|ADG29298.1 (2.30E-12)	REFSEQ glycosyl transferase family 2[Xu] (1.625438768138277E-15)	VFG006055(gb|WP_002902064) (SSA_RS10860) glycosyltransferase family 2 protein [Capsule (VF0144) - Immune modulation (VFC0258)] [Streptococcus sanguinis SK36] (3.51E-22)	Glycosyl transferase family 2
OG_49	True	0.453333333	825	34	"-"	2.356652784	0.575425791	0.254653202	0.417278792	0.553339676	1.00444299	0.028368794	0	0.312727273	-0.159533074	NA	78	-3.886211649	0.012820513	EF2168 (6.3e-172)	lipopolysaccharide cholinephosphotransferase [EC:2.7.8.-] (9.176709851334875E-71)	diacylglycerol cholinephosphotransferase Mf1 (2.437263729539411E-25)	VIMSS356321 (1.77E-167)	NA	NA	NA	REFSEQ bifunctional phosphorylcholine metabolism protein licd and glycosyltransferase domain[Xu] (1.93230090350574E-10)	VFG013464(gb|WP_011609611) (licD) phosphocholine transferase [LOS (VF0044) - Immune modulation (VFC0258)] [Haemophilus somnus 129PT] (7.61E-43)	LicD family
OG_50	True	0.853333333	1416	37	"-"	4.624923094	0.807174888	0.46449644	0.517573509	0.362062616	1.004914477	0.102615694	0	0.29407116	-0.16954916	NA	218	-2.84453593	0	EF2169 (2.31e-120)	O-antigen ligase [EC:2.4.99.26] (1.8820294044197044E-39)	oligosaccharide repeat unit polymerase (4.3169369937716766E-10)	VIMSS356322 (6.50E-116)	NA	NA	NA	NA	NA	O-Antigen ligase
OG_51	True	1	978	44	"-"	3.768052054	0.782654127	0.401271371	0.337292376	0.530973044	1.005850319	0.053412463	0	0.302564103	-0.224489796	NA	162	-3.34766269	0	EF2170|epaX (1.23e-145)	teichoic acid N-acetylgalactosaminyltransferase [EC:2.4.1.-] (2.1838481243672723E-78)	glycosyltransferase (1.1824634056603439E-38)	VIMSS356323 (3.48E-141)	NA	NA	BGC0000741|c1|3612-4580|+|AAL57076.1|CpsI|AAL57076.1; BGC0000744|c1|3612-4580|+|AAL56365.1|CpsI|AAL56365.1; BGC0000745|c1|3612-4580|+|AAL56372.1|CpsI|AAL56372.1 (1.15E-42)	sp|A0A0H3JNB0|TARP_STAAN Poly(ribitol-phosphate) beta-N-acetylglucosaminyltransferase TarP[Xh] (2.1328874425604499E-41)	VFG046740(gb|WP_013922877) (F7308_RS05565) glycosyltransferase family 2 protein [Capsule (VF0543) - Immune modulation (VFC0258)] [Francisella sp. TX077308] (8.48E-46)	Glycosyl transferase family 2; Glycosyltransferase like family 2; Glycosyltransferase like family 2
OG_53	True	0.786666667	1059	49	"-"	0.924687559	0.398280802	0.126968035	0.13340183	0.993453113	1.004757721	0.025139665	0	0.365439093	-0.147286822	NA	62	-2.832072999	0.080645161	EF2171 (1.54e-250)	UDP-glucuronate decarboxylase [EC:4.1.1.35] (7.753906260586693E-65)	dTDP-glucose 4,6-dehydratase (1.4720860278052996E-32)	WP_002378507.1 (1.06E-246)	NA	NA	BGC0001438|c1|18997-19995|-|B9W61_07245|dTDP-glucose_4,6-dehydratase|OWA25237.1; BGC0000238|c1|49875-50855|-|ABX71131.1|Lct48|ABX71131.1 (6.08E-21)	sp|Q9EQC1|3BHS7_MOUSE 3 beta-hydroxysteroid dehydrogenase type 7[Xh] (3.1647023585086674E-43)	VFG013369(gb|WP_011272256) (rffG) dTDP-glucose 46-dehydratase [LOS (VF0044) - Immune modulation (VFC0258)] [Haemophilus influenzae 86-028NP] (2.24E-26)	3-beta hydroxysteroid dehydrogenase/isomerase family; NAD dependent epimerase/dehydratase family; GDP-mannose 4,6 dehydratase; Male sterility protein; Polysaccharide biosynthesis protein
OG_54	True	0.786666667	705	50	"-"	0.126673764	0.101573677	0.026961333	0.088443138	0.998527414	1.009132326	0.004273504	0	0.343262411	-0.125	NA	22	-3.008791129	0	EF2172 (5.91e-173)	D-ribitol-5-phosphate cytidylyltransferase [EC:2.7.7.40] (4.426942284631529E-67)	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase (9.785972569415415E-46)	VIMSS356325 (1.67E-168)	NA	NA	BGC0000806|c1|48922-49656|+|AHL24486.1|2-C-methyl-D-erythritol_4-phosphate_cytidylyltransferase|AHL24486.1 (8.63E-21)	sp|Q5UNV4|UNAP_MIMIV Probable UDP-N-acetylglucosamine pyrophosphorylase[Xh] (7.339337409197797E-7)	VFG000688(gb|AAP42181) (bcs1') Bcs1' [Capsule (VF0043) - Immune modulation (VFC0258)] [Haemophilus influenzae str. 1007] (1.86E-21)	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase; MobA-like NTP transferase domain
OG_55	False	0.64	2682	57	"-"	NA	NA	NA	NA	NA	NA	0.446529081	0.07523511	0.357196122	-0.117043121	NA	NA	NA	NA	EF2174|OG1RF_0163 (0.0)	lysozyme (3.767801934381036E-34)	NA	VIMSS356327 (0.0)	NA	NA	NA	sp|Q37976|AEPE_BPA18 L-alanyl-D-glutamate peptidase[Xh] (3.938418088933784E-47)	NA	Domain of unknown function (DUF5776); Glycosyl hydrolases family 25
