Dereplication_Type_Comparison	Evolutionary_Statistic	Homolog_Group	Value_1	Value_2
GC_99I99C_Derep vs. GC_97I95C_Derep	1. Conservation	EF2165	1	1
GC_99I99C_Derep vs. GC_97I95C_Derep	1. Conservation	EF2169	0.822580645	0.76
GC_99I99C_Derep vs. GC_97I95C_Derep	1. Conservation	EF2192	1	1
GC_99I99C_Derep vs. GC_97I95C_Derep	1. Conservation	EF2196	1	1
GC_99I99C_Derep vs. GC_97I95C_Derep	1. Conservation	EF2174	0.64516129	0.6
GC_99I99C_Derep vs. GC_97I95C_Derep	1. Conservation	EF2190	1	1
GC_99I99C_Derep vs. GC_97I95C_Derep	1. Conservation	EF2178	1	1
GC_99I99C_Derep vs. GC_97I95C_Derep	1. Conservation	EF2197	1	1
GC_99I99C_Derep vs. GC_97I95C_Derep	1. Conservation	EF2170	0.983870968	1
GC_99I99C_Derep vs. GC_97I95C_Derep	1. Conservation	EF2168	0.387096774	0.32
GC_99I99C_Derep vs. GC_97I95C_Derep	1. Conservation	EF2183	1	1
GC_99I99C_Derep vs. GC_97I95C_Derep	1. Conservation	EF2191	1	1
GC_99I99C_Derep vs. GC_97I95C_Derep	1. Conservation	EF2181	1	1
GC_99I99C_Derep vs. GC_97I95C_Derep	1. Conservation	EF2166	0.306451613	NA
GC_99I99C_Derep vs. GC_97I95C_Derep	1. Conservation	EF2172	0.709677419	0.76
GC_99I99C_Derep vs. GC_97I95C_Derep	1. Conservation	EF2200	1	1
GC_99I99C_Derep vs. GC_97I95C_Derep	1. Conservation	EF2199	1	1
GC_99I99C_Derep vs. GC_97I95C_Derep	1. Conservation	EF2189	1	1
GC_99I99C_Derep vs. GC_97I95C_Derep	1. Conservation	EF2184	1	1
GC_99I99C_Derep vs. GC_97I95C_Derep	1. Conservation	EF2164	0.370967742	0.48
GC_99I99C_Derep vs. GC_97I95C_Derep	1. Conservation	EF2179	1	1
GC_99I99C_Derep vs. GC_97I95C_Derep	1. Conservation	EF2175	0.758064516	0.8
GC_99I99C_Derep vs. GC_97I95C_Derep	1. Conservation	EF2195	1	1
GC_99I99C_Derep vs. GC_97I95C_Derep	1. Conservation	EF2198	1	1
GC_99I99C_Derep vs. GC_97I95C_Derep	1. Conservation	EF2182	1	1
GC_99I99C_Derep vs. GC_97I95C_Derep	1. Conservation	EF2171	0.693548387	0.72
GC_99I99C_Derep vs. GC_97I95C_Derep	1. Conservation	EF2193	1	1
GC_99I99C_Derep vs. GC_97I95C_Derep	1. Conservation	EF2176	0.580645161	0.52
GC_99I99C_Derep vs. GC_97I95C_Derep	1. Conservation	EF2194	1	1
GC_99I99C_Derep vs. GC_97I95C_Derep	1. Conservation	EF2177	1	1
GC_99I99C_Derep vs. GC_97I95C_Derep	1. Conservation	EF2180	1	1
GC_99I99C_Derep vs. GC_97I95C_Derep	6. Tajimas D	EF2165	0.030942364	0.427544714
GC_99I99C_Derep vs. GC_97I95C_Derep	6. Tajimas D	EF2169	4.429122167	3.16822415
GC_99I99C_Derep vs. GC_97I95C_Derep	6. Tajimas D	EF2192	-0.827072629	-0.887631034
GC_99I99C_Derep vs. GC_97I95C_Derep	6. Tajimas D	EF2196	-0.674996401	-0.367022288
GC_99I99C_Derep vs. GC_97I95C_Derep	6. Tajimas D	EF2174	0.798557908	-0.183534307
GC_99I99C_Derep vs. GC_97I95C_Derep	6. Tajimas D	EF2190	-0.984371601	-1.03561226
GC_99I99C_Derep vs. GC_97I95C_Derep	6. Tajimas D	EF2178	-1.623216331	-1.424440478
GC_99I99C_Derep vs. GC_97I95C_Derep	6. Tajimas D	EF2197	-1.338669135	-0.982049701
GC_99I99C_Derep vs. GC_97I95C_Derep	6. Tajimas D	EF2170	3.78722474	2.925651873
GC_99I99C_Derep vs. GC_97I95C_Derep	6. Tajimas D	EF2168	3.229035729	2.328811312
GC_99I99C_Derep vs. GC_97I95C_Derep	6. Tajimas D	EF2183	-2.210971783	-0.47245513
GC_99I99C_Derep vs. GC_97I95C_Derep	6. Tajimas D	EF2191	-1.826459764	-1.970709399
GC_99I99C_Derep vs. GC_97I95C_Derep	6. Tajimas D	EF2181	-1.168492642	-1.108867409
GC_99I99C_Derep vs. GC_97I95C_Derep	6. Tajimas D	EF2166	1.829907987	NA
GC_99I99C_Derep vs. GC_97I95C_Derep	6. Tajimas D	EF2172	0.233930587	-0.041071194
GC_99I99C_Derep vs. GC_97I95C_Derep	6. Tajimas D	EF2200	-0.474720739	-0.455816589
GC_99I99C_Derep vs. GC_97I95C_Derep	6. Tajimas D	EF2199	-1.20773547	-1.051851914
GC_99I99C_Derep vs. GC_97I95C_Derep	6. Tajimas D	EF2189	-0.860870058	-0.27531473
GC_99I99C_Derep vs. GC_97I95C_Derep	6. Tajimas D	EF2184	-1.118060928	-1.26669562
GC_99I99C_Derep vs. GC_97I95C_Derep	6. Tajimas D	EF2164	0.62664643	0.397644148
GC_99I99C_Derep vs. GC_97I95C_Derep	6. Tajimas D	EF2179	-0.968990112	-0.860918317
GC_99I99C_Derep vs. GC_97I95C_Derep	6. Tajimas D	EF2175	2.467294584	2.248555729
GC_99I99C_Derep vs. GC_97I95C_Derep	6. Tajimas D	EF2195	-0.742649216	-0.648688017
GC_99I99C_Derep vs. GC_97I95C_Derep	6. Tajimas D	EF2198	-1.419143776	-1.58043964
GC_99I99C_Derep vs. GC_97I95C_Derep	6. Tajimas D	EF2182	-0.508475854	-0.684723778
GC_99I99C_Derep vs. GC_97I95C_Derep	6. Tajimas D	EF2171	1.681742295	1.089949065
GC_99I99C_Derep vs. GC_97I95C_Derep	6. Tajimas D	EF2193	-1.409068348	-1.285743737
GC_99I99C_Derep vs. GC_97I95C_Derep	6. Tajimas D	EF2176	-1.105812188	-1.100076009
GC_99I99C_Derep vs. GC_97I95C_Derep	6. Tajimas D	EF2194	-0.872756986	-1.023429981
GC_99I99C_Derep vs. GC_97I95C_Derep	6. Tajimas D	EF2177	-1.174056212	-1.073227763
GC_99I99C_Derep vs. GC_97I95C_Derep	6. Tajimas D	EF2180	-1.032322031	-0.91895076
GC_99I99C_Derep vs. GC_97I95C_Derep	5. Proportion Seg. Sites (log10; PC of 1e-5)	EF2165	-0.8628333151072194	-0.999041398204909
GC_99I99C_Derep vs. GC_97I95C_Derep	5. Proportion Seg. Sites (log10; PC of 1e-5)	EF2169	-0.09447158602954231	-0.09487614057420468
GC_99I99C_Derep vs. GC_97I95C_Derep	5. Proportion Seg. Sites (log10; PC of 1e-5)	EF2192	-1.28678742711068	-1.387791986248203
GC_99I99C_Derep vs. GC_97I95C_Derep	5. Proportion Seg. Sites (log10; PC of 1e-5)	EF2196	-1.077552932514573	-1.2088135233373842
GC_99I99C_Derep vs. GC_97I95C_Derep	5. Proportion Seg. Sites (log10; PC of 1e-5)	EF2174	-0.16974466121778603	-0.2661450874869988
GC_99I99C_Derep vs. GC_97I95C_Derep	5. Proportion Seg. Sites (log10; PC of 1e-5)	EF2190	-1.0395467896284574	-1.1348031863218795
GC_99I99C_Derep vs. GC_97I95C_Derep	5. Proportion Seg. Sites (log10; PC of 1e-5)	EF2178	-0.9897150954873992	-1.1593039608878948
GC_99I99C_Derep vs. GC_97I95C_Derep	5. Proportion Seg. Sites (log10; PC of 1e-5)	EF2197	-1.1138868972594216	-1.3356980164251664
GC_99I99C_Derep vs. GC_97I95C_Derep	5. Proportion Seg. Sites (log10; PC of 1e-5)	EF2170	-0.10700478375676273	-0.11266493087266209
GC_99I99C_Derep vs. GC_97I95C_Derep	5. Proportion Seg. Sites (log10; PC of 1e-5)	EF2168	-0.23908594431940308	-0.246478239933136
GC_99I99C_Derep vs. GC_97I95C_Derep	5. Proportion Seg. Sites (log10; PC of 1e-5)	EF2183	-1.012189789417187	-1.6943902806947737
GC_99I99C_Derep vs. GC_97I95C_Derep	5. Proportion Seg. Sites (log10; PC of 1e-5)	EF2191	-1.1388896484044373	-1.225236322907208
GC_99I99C_Derep vs. GC_97I95C_Derep	5. Proportion Seg. Sites (log10; PC of 1e-5)	EF2181	-1.1025612519346473	-1.227481658152673
GC_99I99C_Derep vs. GC_97I95C_Derep	5. Proportion Seg. Sites (log10; PC of 1e-5)	EF2166	-1.243421304563786	NA
GC_99I99C_Derep vs. GC_97I95C_Derep	5. Proportion Seg. Sites (log10; PC of 1e-5)	EF2172	-0.9811127324737489	-1.0520365267874179
GC_99I99C_Derep vs. GC_97I95C_Derep	5. Proportion Seg. Sites (log10; PC of 1e-5)	EF2200	-1.174319910464261	-1.269090409146404
GC_99I99C_Derep vs. GC_97I95C_Derep	5. Proportion Seg. Sites (log10; PC of 1e-5)	EF2199	-1.118222088194905	-1.2246615790508937
GC_99I99C_Derep vs. GC_97I95C_Derep	5. Proportion Seg. Sites (log10; PC of 1e-5)	EF2189	-0.898092218731013	-1.1101595070824009
GC_99I99C_Derep vs. GC_97I95C_Derep	5. Proportion Seg. Sites (log10; PC of 1e-5)	EF2184	-1.2748454097590076	-1.450895782376193
GC_99I99C_Derep vs. GC_97I95C_Derep	5. Proportion Seg. Sites (log10; PC of 1e-5)	EF2164	-0.10913888555068504	-0.12235356100101748
GC_99I99C_Derep vs. GC_97I95C_Derep	5. Proportion Seg. Sites (log10; PC of 1e-5)	EF2179	-1.1207814682753718	-1.2727543996869255
GC_99I99C_Derep vs. GC_97I95C_Derep	5. Proportion Seg. Sites (log10; PC of 1e-5)	EF2175	-0.6320046031039771	-0.6618082616755111
GC_99I99C_Derep vs. GC_97I95C_Derep	5. Proportion Seg. Sites (log10; PC of 1e-5)	EF2195	-1.1890446474238259	-1.3332621012366508
GC_99I99C_Derep vs. GC_97I95C_Derep	5. Proportion Seg. Sites (log10; PC of 1e-5)	EF2198	-1.2395652795973804	-1.3469463222825018
GC_99I99C_Derep vs. GC_97I95C_Derep	5. Proportion Seg. Sites (log10; PC of 1e-5)	EF2182	-1.1550952764574716	-1.2271705023918704
GC_99I99C_Derep vs. GC_97I95C_Derep	5. Proportion Seg. Sites (log10; PC of 1e-5)	EF2171	-0.3966865648639313	-0.4103411003579041
GC_99I99C_Derep vs. GC_97I95C_Derep	5. Proportion Seg. Sites (log10; PC of 1e-5)	EF2193	-1.1995035952461484	-1.2933915046824653
GC_99I99C_Derep vs. GC_97I95C_Derep	5. Proportion Seg. Sites (log10; PC of 1e-5)	EF2176	-1.3102313430556074	-1.6478797931402083
GC_99I99C_Derep vs. GC_97I95C_Derep	5. Proportion Seg. Sites (log10; PC of 1e-5)	EF2194	-1.3801070200681071	-1.4739863716510713
GC_99I99C_Derep vs. GC_97I95C_Derep	5. Proportion Seg. Sites (log10; PC of 1e-5)	EF2177	-1.0838236885666004	-1.1488778208878112
GC_99I99C_Derep vs. GC_97I95C_Derep	5. Proportion Seg. Sites (log10; PC of 1e-5)	EF2180	-1.1022691137379055	-1.2161959770041473
GC_99I99C_Derep vs. GC_97I95C_Derep	2. Entropy (log10 PC of 1e-5)	EF2165	-1.4591225461222355	-1.4855805624616631
GC_99I99C_Derep vs. GC_97I95C_Derep	2. Entropy (log10 PC of 1e-5)	EF2169	-0.3277544626985664	-0.3222730717545905
GC_99I99C_Derep vs. GC_97I95C_Derep	2. Entropy (log10 PC of 1e-5)	EF2192	-1.9927407580028746	-2.0107067523548805
GC_99I99C_Derep vs. GC_97I95C_Derep	2. Entropy (log10 PC of 1e-5)	EF2196	-1.7594999495857475	-1.7774582439934397
GC_99I99C_Derep vs. GC_97I95C_Derep	2. Entropy (log10 PC of 1e-5)	EF2174	-0.8736935686800932	-0.7178205901151451
GC_99I99C_Derep vs. GC_97I95C_Derep	2. Entropy (log10 PC of 1e-5)	EF2190	-1.7666849907547435	-1.7752710440700414
GC_99I99C_Derep vs. GC_97I95C_Derep	2. Entropy (log10 PC of 1e-5)	EF2178	-1.8109026942372848	-1.844817936590817
GC_99I99C_Derep vs. GC_97I95C_Derep	2. Entropy (log10 PC of 1e-5)	EF2197	-1.9057383125869258	-1.9783650126693235
GC_99I99C_Derep vs. GC_97I95C_Derep	2. Entropy (log10 PC of 1e-5)	EF2170	-0.38553888904746786	-0.38760674750294993
GC_99I99C_Derep vs. GC_97I95C_Derep	2. Entropy (log10 PC of 1e-5)	EF2168	-0.5310350149002957	-0.5277838784834065
GC_99I99C_Derep vs. GC_97I95C_Derep	2. Entropy (log10 PC of 1e-5)	EF2183	-2.217619261052575	-2.2738897968531777
GC_99I99C_Derep vs. GC_97I95C_Derep	2. Entropy (log10 PC of 1e-5)	EF2191	-2.0021140711332306	-1.9959002159237325
GC_99I99C_Derep vs. GC_97I95C_Derep	2. Entropy (log10 PC of 1e-5)	EF2181	-1.8470214009594268	-1.8721165683216965
GC_99I99C_Derep vs. GC_97I95C_Derep	2. Entropy (log10 PC of 1e-5)	EF2166	-1.6247202891296144	NA
GC_99I99C_Derep vs. GC_97I95C_Derep	2. Entropy (log10 PC of 1e-5)	EF2172	-1.525472219523506	-1.5548757315083719
