Orthogroup	t5_fai-gene-cluster-1	Ref_Epa_from_V583_fai-gene-cluster-1
OG0000000	AAW_000187	AAB_000124
OG0000000	AAW_000189	AAB_000125
OG0000001	AAW_000194	AAB_000129, AAB_000117
OG0000002	AAW_000173, AAW_000174	AAB_000118
OG0000003	AAW_000183	AAB_000123
OG0000004	AAW_000156, AAW_000158, AAW_000157	AAB_000108
OG0000005	AAW_000191	AAB_000126
OG0000006	AAW_000163	AAB_000113
OG0000007	AAW_000182	AAB_000122
OG0000008	AAW_000181	AAB_000121
OG0000009	AAW_000201, AAW_000202	AAB_000135
OG0000012	AAW_000213, AAW_000212	AAB_000143
OG0000013	AAW_000164	AAB_000114
OG0000014	AAW_000208, AAW_000207	AAB_000140
OG0000015	AAW_000176, AAW_000177	AAB_000119
OG0000017	AAW_000203	AAB_000136
OG0000019	AAW_000214, AAW_000215	AAB_000144
OG0000020	AAW_000165, AAW_000166	AAB_000115
OG0000021	AAW_000199	AAB_000134
OG0000022	AAW_000155	AAB_000107
OG0000023	AAW_000167	AAB_000116
OG0000024	AAW_000205	AAB_000138
OG0000025	AAW_000206	AAB_000139
OG0000026	AAW_000211, AAW_000210	AAB_000142
OG0000027	AAW_000178	AAB_000120
OG0000028	AAW_000204	AAB_000137
OG0000029	AAW_000209	AAB_000141
OG0000031	AAW_000197	AAB_000132
OG0000032	AAW_000216	AAB_000145
OG0000033	AAW_000193	AAB_000128
OG0000034	AAW_000192	AAB_000127
