Orthogroup	t28_fai-gene-cluster-1	Ref_Epa_from_V583_fai-gene-cluster-1
OG0000000	AAF_000148	AAB_000125
OG0000000	AAF_000146	AAB_000124
OG0000001	AAF_000135, AAF_000155	AAB_000117, AAB_000129
OG0000002	AAF_000137	AAB_000118
OG0000003	AAF_000145	AAB_000123
OG0000004	AAF_000122	AAB_000108
OG0000005	AAF_000150, AAF_000151, AAF_000152	AAB_000126
OG0000006	AAF_000130	AAB_000113
OG0000007	AAF_000143, AAF_000144	AAB_000122
OG0000009	AAF_000162	AAB_000135
OG0000010	AAF_000125, AAF_000126	AAB_000110
OG0000011	AAF_000127	AAB_000111
OG0000012	AAF_000171	AAB_000143
OG0000013	AAF_000132	AAB_000114
OG0000014	AAF_000168	AAB_000140
OG0000015	AAF_000140	AAB_000119
OG0000016	AAF_000158	AAB_000131
OG0000017	AAF_000163	AAB_000136
OG0000018	AAF_000128	AAB_000112
OG0000019	AAF_000172, AAF_000173	AAB_000144
OG0000020	AAF_000133	AAB_000115
OG0000021	AAF_000161	AAB_000134
OG0000022	AAF_000121	AAB_000107
OG0000023	AAF_000134	AAB_000116
OG0000024	AAF_000165, AAF_000166	AAB_000138
OG0000025	AAF_000167	AAB_000139
OG0000026	AAF_000170	AAB_000142
OG0000027	AAF_000141	AAB_000120
OG0000028	AAF_000164	AAB_000137
OG0000029	AAF_000169	AAB_000141
OG0000030	AAF_000123	AAB_000109
OG0000031	AAF_000159	AAB_000132
OG0000032	AAF_000174	AAB_000145
OG0000033	AAF_000154	AAB_000128
OG0000034	AAF_000153	AAB_000127
OG0000035	AAF_000160	AAB_000133
OG0000036	AAF_000157	AAB_000130
