Orthogroup	t28_fai-gene-cluster-1	t24_fai-gene-cluster-1
OG0000000	AAF_000148	AAH_000154
OG0000000	AAF_000146	AAH_000151
OG0000000	AAF_000149	AAH_000155
OG0000001	AAF_000135	AAH_000141
OG0000001	AAF_000156	AAH_000161
OG0000002	AAF_000137	AAH_000143
OG0000002	AAF_000136	AAH_000142
OG0000003	AAF_000145	AAH_000150
OG0000004	AAF_000122	AAH_000128
OG0000005	AAF_000150	AAH_000156
OG0000005	AAF_000151	AAH_000157
OG0000005	AAF_000152	AAH_000158
OG0000006	AAF_000130	AAH_000136
OG0000006	AAF_000129	AAH_000135
OG0000007	AAF_000143	AAH_000148
OG0000007	AAF_000144	AAH_000149
OG0000008	AAF_000142	AAH_000147
OG0000009	AAF_000162	AAH_000168
OG0000010	AAF_000125	AAH_000131
OG0000010	AAF_000126	AAH_000132
OG0000010	AAF_000124	AAH_000130
OG0000011	AAF_000127	AAH_000133
OG0000012	AAF_000171	AAH_000177
OG0000013	AAF_000132	AAH_000138
OG0000013	AAF_000131	AAH_000137
OG0000014	AAF_000168	AAH_000174
OG0000015	AAF_000140	AAH_000145
OG0000015	AAF_000139	AAH_000144
OG0000016	AAF_000158	AAH_000163
OG0000017	AAF_000163	AAH_000169
OG0000018	AAF_000128	AAH_000134
OG0000019	AAF_000172	AAH_000178
OG0000019	AAF_000173	AAH_000179
OG0000020	AAF_000133	AAH_000139
OG0000021	AAF_000161	AAH_000167
OG0000022	AAF_000121	AAH_000127
OG0000023	AAF_000134	AAH_000140
OG0000024	AAF_000165	AAH_000171
OG0000024	AAF_000166	AAH_000172
OG0000025	AAF_000167	AAH_000173
OG0000026	AAF_000170	AAH_000176
OG0000027	AAF_000141	AAH_000146
OG0000028	AAF_000164	AAH_000170
OG0000029	AAF_000169	AAH_000175
OG0000030	AAF_000123	AAH_000129
OG0000031	AAF_000159	AAH_000165
OG0000032	AAF_000174	AAH_000180
OG0000033	AAF_000154	AAH_000160
OG0000034	AAF_000153	AAH_000159
OG0000035	AAF_000160	AAH_000166
OG0000036	AAF_000157	AAH_000162
