Orthogroup	t30_fai-gene-cluster-1	Ref_Epa_from_V583_fai-gene-cluster-1
OG0000000	AAL_000157	AAB_000125
OG0000000	AAL_000156	AAB_000124
OG0000001	AAL_000144	AAB_000117, AAB_000129
OG0000003	AAL_000154	AAB_000123
OG0000004	AAL_000130, AAL_000129	AAB_000108
OG0000005	AAL_000158, AAL_000159, AAL_000160	AAB_000126
OG0000006	AAL_000139	AAB_000113
OG0000007	AAL_000151, AAL_000152, AAL_000153	AAB_000122
OG0000008	AAL_000149	AAB_000121
OG0000009	AAL_000172, AAL_000173	AAB_000135
OG0000010	AAL_000135	AAB_000110
OG0000011	AAL_000136	AAB_000111
OG0000012	AAL_000182, AAL_000183	AAB_000143
OG0000013	AAL_000141	AAB_000114
OG0000014	AAL_000179	AAB_000140
OG0000015	AAL_000147	AAB_000119
OG0000016	AAL_000165	AAB_000131
OG0000017	AAL_000174	AAB_000136
OG0000018	AAL_000137	AAB_000112
OG0000019	AAL_000184	AAB_000144
OG0000020	AAL_000142	AAB_000115
OG0000021	AAL_000171	AAB_000134
OG0000022	AAL_000128	AAB_000107
OG0000023	AAL_000143	AAB_000116
OG0000024	AAL_000176, AAL_000177	AAB_000138
OG0000025	AAL_000178	AAB_000139
OG0000026	AAL_000181	AAB_000142
OG0000027	AAL_000148	AAB_000120
OG0000028	AAL_000175	AAB_000137
OG0000029	AAL_000180	AAB_000141
OG0000030	AAL_000132, AAL_000133	AAB_000109
OG0000031	AAL_000168	AAB_000132
OG0000032	AAL_000185	AAB_000145
OG0000033	AAL_000162	AAB_000128
OG0000034	AAL_000161	AAB_000127
OG0000035	AAL_000170	AAB_000133
OG0000036	AAL_000164	AAB_000130
