HOG	OG	Gene Tree Parent Clade	Ref_Epa_from_V583_fai-gene-cluster-1	t10_fai-gene-cluster-1	t11_fai-gene-cluster-1	t12_fai-gene-cluster-1	t13_fai-gene-cluster-1	t14_fai-gene-cluster-1	t15_fai-gene-cluster-1	t16_fai-gene-cluster-1	t17_fai-gene-cluster-1	t18_fai-gene-cluster-1	t19_fai-gene-cluster-1	t1_fai-gene-cluster-1	t20_fai-gene-cluster-1	t21_fai-gene-cluster-1	t22_fai-gene-cluster-1	t23_fai-gene-cluster-1	t24_fai-gene-cluster-1	t25_fai-gene-cluster-1	t26_fai-gene-cluster-1	t27_fai-gene-cluster-1	t28_fai-gene-cluster-1	t29_fai-gene-cluster-1	t2_fai-gene-cluster-1	t30_fai-gene-cluster-1	t3_fai-gene-cluster-1	t4_fai-gene-cluster-1	t5_fai-gene-cluster-1	t6_fai-gene-cluster-1	t7_fai-gene-cluster-1	t8_fai-gene-cluster-1	t9_fai-gene-cluster-1
N26.HOG0000000	OG0000000	n3															AAU_000193										AAK_000184						
N26.HOG0000001	OG0000000	n88															AAU_000195																
N26.HOG0000002	OG0000000	n104																									AAK_000188						
N26.HOG0000003	OG0000000	n107																									AAK_000187, AAK_000186						
N26.HOG0000004	OG0000001	n11															AAU_000174										AAK_000168						
N26.HOG0000005	OG0000001	n27																									AAK_000170						
N26.HOG0000006	OG0000001	n47															AAU_000175										AAK_000169						
N26.HOG0000007	OG0000001	n65															AAU_000199										AAK_000192						
N26.HOG0000008	OG0000002	n5															AAU_000176										AAK_000171						
N26.HOG0000009	OG0000002	n41															AAU_000177										AAK_000172						
N26.HOG0000010	OG0000002	n65															AAU_000178																
N26.HOG0000011	OG0000003	n4															AAU_000190										AAK_000181						
N26.HOG0000012	OG0000003	n33															AAU_000191										AAK_000182						
N26.HOG0000013	OG0000003	n51															AAU_000192										AAK_000183						
N26.HOG0000014	OG0000004	n31															AAU_000159										AAK_000156						
N26.HOG0000015	OG0000004	n46															AAU_000160										AAK_000157						
N26.HOG0000016	OG0000005	n1															AAU_000196										AAK_000189						
N26.HOG0000017	OG0000005	n56															AAU_000197										AAK_000190						
N26.HOG0000018	OG0000006	n1															AAU_000169										AAK_000163						
N26.HOG0000019	OG0000006	n32															AAU_000168										AAK_000162						
N26.HOG0000020	OG0000006	n56															AAU_000167																
N26.HOG0000021	OG0000007	n15															AAU_000189																
N26.HOG0000022	OG0000007	n28															AAU_000188										AAK_000180						
N26.HOG0000023	OG0000008	n4															AAU_000185										AAK_000177						
N26.HOG0000024	OG0000008	n24															AAU_000186										AAK_000178						
N26.HOG0000025	OG0000008	n30															AAU_000187										AAK_000179						
N26.HOG0000026	OG0000009	n3															AAU_000205										AAK_000199						
N26.HOG0000027	OG0000009	n28															AAU_000206										AAK_000200						
N26.HOG0000028	OG0000010	n2															AAU_000162										AAK_000159						
N26.HOG0000029	OG0000010	n24															AAU_000163																
N26.HOG0000030	OG0000011	n5															AAU_000165										AAK_000160						
N26.HOG0000031	OG0000011	n46															AAU_000164																
N26.HOG0000032	OG0000012	n29															AAU_000216										AAK_000210						
N26.HOG0000033	OG0000013	n26															AAU_000170										AAK_000164						
N26.HOG0000034	OG0000014	n15															AAU_000213										AAK_000207						
N26.HOG0000035	OG0000014	n31															AAU_000212										AAK_000206						
N26.HOG0000036	OG0000015	n3															AAU_000180										AAK_000173						
N26.HOG0000037	OG0000015	n30															AAU_000181										AAK_000174						
N26.HOG0000038	OG0000015	n31															AAU_000182										AAK_000175						
N26.HOG0000039	OG0000016	n2															AAU_000200										AAK_000193						
N26.HOG0000040	OG0000017	n24															AAU_000208										AAK_000202						
N26.HOG0000041	OG0000017	n42															AAU_000207										AAK_000201						
N26.HOG0000042	OG0000018	n22															AAU_000166										AAK_000161						
N26.HOG0000043	OG0000019	n6															AAU_000217										AAK_000211						
N26.HOG0000044	OG0000019	n15															AAU_000218										AAK_000212						
N26.HOG0000045	OG0000020	n8																									AAK_000165						
N26.HOG0000046	OG0000020	n28															AAU_000171																
N26.HOG0000047	OG0000020	n29															AAU_000172										AAK_000166						
N26.HOG0000048	OG0000021	n16															AAU_000204										AAK_000198						
N26.HOG0000049	OG0000021	n24															AAU_000203										AAK_000197						
N26.HOG0000050	OG0000022	n8															AAU_000158										AAK_000155						
N26.HOG0000051	OG0000023	n7															AAU_000173										AAK_000167						
N26.HOG0000052	OG0000024	n3															AAU_000210										AAK_000204						
N26.HOG0000053	OG0000025	n11															AAU_000211										AAK_000205						
N26.HOG0000054	OG0000026	n21															AAU_000215										AAK_000209						
N26.HOG0000055	OG0000027	n8															AAU_000183										AAK_000176						
N26.HOG0000056	OG0000028	n16															AAU_000209										AAK_000203						
N26.HOG0000057	OG0000029	n25															AAU_000214																
N26.HOG0000058	OG0000029	n31																									AAK_000208						
N26.HOG0000059	OG0000030	n1															AAU_000161										AAK_000158						
N26.HOG0000060	OG0000031	n3															AAU_000201										AAK_000195						
N26.HOG0000061	OG0000032	n10															AAU_000219										AAK_000213						
N26.HOG0000062	OG0000033	n0															AAU_000198										AAK_000191						
N26.HOG0000063	OG0000035	n12															AAU_000202										AAK_000196						
N26.HOG0000064	OG0000037	n0															AAU_000184																
N26.HOG0000065	OG0000038	n0															AAU_000179																
