HOG	OG	Gene Tree Parent Clade	Ref_Epa_from_V583_fai-gene-cluster-1	t10_fai-gene-cluster-1	t11_fai-gene-cluster-1	t12_fai-gene-cluster-1	t13_fai-gene-cluster-1	t14_fai-gene-cluster-1	t15_fai-gene-cluster-1	t16_fai-gene-cluster-1	t17_fai-gene-cluster-1	t18_fai-gene-cluster-1	t19_fai-gene-cluster-1	t1_fai-gene-cluster-1	t20_fai-gene-cluster-1	t21_fai-gene-cluster-1	t22_fai-gene-cluster-1	t23_fai-gene-cluster-1	t24_fai-gene-cluster-1	t25_fai-gene-cluster-1	t26_fai-gene-cluster-1	t27_fai-gene-cluster-1	t28_fai-gene-cluster-1	t29_fai-gene-cluster-1	t2_fai-gene-cluster-1	t30_fai-gene-cluster-1	t3_fai-gene-cluster-1	t4_fai-gene-cluster-1	t5_fai-gene-cluster-1	t6_fai-gene-cluster-1	t7_fai-gene-cluster-1	t8_fai-gene-cluster-1	t9_fai-gene-cluster-1
N5.HOG0000000	OG0000000	n1																	AAH_000151				AAF_000146										AAZ_000153
N5.HOG0000001	OG0000000	n45																					AAF_000147										
N5.HOG0000002	OG0000000	n57																	AAH_000153														
N5.HOG0000003	OG0000000	n60																	AAH_000154				AAF_000148										AAZ_000154
N5.HOG0000004	OG0000000	n92																	AAH_000155				AAF_000149										AAZ_000155
N5.HOG0000005	OG0000000	n128																	AAH_000152														
N5.HOG0000006	OG0000001	n7																					AAF_000156										
N5.HOG0000007	OG0000001	n64																	AAH_000161														AAZ_000160
N5.HOG0000008	OG0000001	n65																	AAH_000141				AAF_000135										AAZ_000141
N5.HOG0000009	OG0000002	n4																	AAH_000142				AAF_000136										AAZ_000142
N5.HOG0000010	OG0000002	n41																															AAZ_000143
N5.HOG0000011	OG0000002	n61																															AAZ_000145
N5.HOG0000012	OG0000002	n83																															AAZ_000144
N5.HOG0000013	OG0000003	n4																	AAH_000150				AAF_000145										AAZ_000152
N5.HOG0000014	OG0000004	n4																	AAH_000128				AAF_000122										AAZ_000126
N5.HOG0000015	OG0000005	n1																	AAH_000156				AAF_000150										AAZ_000156
N5.HOG0000016	OG0000005	n42																	AAH_000157				AAF_000151										
N5.HOG0000017	OG0000005	n49																	AAH_000158				AAF_000152										AAZ_000157
N5.HOG0000018	OG0000006	n1																	AAH_000136				AAF_000130										AAZ_000134
N5.HOG0000019	OG0000006	n31																	AAH_000135				AAF_000129										AAZ_000133
N5.HOG0000020	OG0000007	n15																	AAH_000149				AAF_000144										AAZ_000151
N5.HOG0000021	OG0000007	n28																	AAH_000148				AAF_000143										AAZ_000150
N5.HOG0000022	OG0000008	n18																	AAH_000147				AAF_000142										AAZ_000149
N5.HOG0000023	OG0000009	n3																	AAH_000168				AAF_000162										
N5.HOG0000024	OG0000010	n2																	AAH_000130				AAF_000124										AAZ_000128
N5.HOG0000025	OG0000010	n27																	AAH_000132				AAF_000126										AAZ_000130
N5.HOG0000026	OG0000010	n50																	AAH_000131				AAF_000125										AAZ_000129
N5.HOG0000027	OG0000011	n27																	AAH_000133				AAF_000127										AAZ_000131
N5.HOG0000028	OG0000012	n4																	AAH_000177				AAF_000171										AAZ_000177
N5.HOG0000029	OG0000013	n4																	AAH_000137				AAF_000131										AAZ_000135
N5.HOG0000030	OG0000013	n26																	AAH_000138				AAF_000132										AAZ_000136
N5.HOG0000031	OG0000014	n0																	AAH_000174				AAF_000168										AAZ_000174
N5.HOG0000032	OG0000015	n3																	AAH_000144				AAF_000139										AAZ_000146
N5.HOG0000033	OG0000015	n22																	AAH_000145				AAF_000140										AAZ_000147
N5.HOG0000034	OG0000016	n11																	AAH_000164														
N5.HOG0000035	OG0000016	n29																	AAH_000163				AAF_000158										
N5.HOG0000036	OG0000017	n32																	AAH_000169				AAF_000163										AAZ_000169
N5.HOG0000037	OG0000018	n0																	AAH_000134				AAF_000128										AAZ_000132
N5.HOG0000038	OG0000019	n6																	AAH_000178				AAF_000172										AAZ_000178
N5.HOG0000039	OG0000019	n15																	AAH_000179				AAF_000173										AAZ_000179
N5.HOG0000040	OG0000020	n4																	AAH_000139				AAF_000133										
N5.HOG0000041	OG0000020	n8																															AAZ_000137
N5.HOG0000042	OG0000020	n20																															AAZ_000138
N5.HOG0000043	OG0000021	n6																															AAZ_000167
N5.HOG0000044	OG0000021	n24																	AAH_000167				AAF_000161										AAZ_000166
N5.HOG0000045	OG0000022	n2																	AAH_000126														AAZ_000124
N5.HOG0000046	OG0000022	n8																	AAH_000127				AAF_000121										AAZ_000125
N5.HOG0000047	OG0000023	n5																	AAH_000140				AAF_000134										
N5.HOG0000048	OG0000023	n7																															AAZ_000139
N5.HOG0000049	OG0000023	n29																															AAZ_000140
N5.HOG0000050	OG0000024	n3																	AAH_000172				AAF_000166										AAZ_000172
N5.HOG0000051	OG0000024	n17																	AAH_000171				AAF_000165										AAZ_000171
N5.HOG0000052	OG0000025	n0																	AAH_000173				AAF_000167										AAZ_000173
N5.HOG0000053	OG0000026	n0																	AAH_000176				AAF_000170										AAZ_000176
N5.HOG0000054	OG0000027	n0																	AAH_000146				AAF_000141										AAZ_000148
N5.HOG0000055	OG0000028	n0																	AAH_000170				AAF_000164										AAZ_000170
N5.HOG0000056	OG0000029	n0																	AAH_000175				AAF_000169										AAZ_000175
N5.HOG0000057	OG0000030	n21																	AAH_000129				AAF_000123										AAZ_000127
N5.HOG0000058	OG0000031	n3																	AAH_000165				AAF_000159										AAZ_000163
N5.HOG0000059	OG0000031	n20																															AAZ_000164
N5.HOG0000060	OG0000032	n0																	AAH_000180				AAF_000174										AAZ_000180
N5.HOG0000061	OG0000033	n0																	AAH_000160				AAF_000154										AAZ_000159
N5.HOG0000062	OG0000034	n13																	AAH_000159														
N5.HOG0000063	OG0000035	n0																	AAH_000166				AAF_000160										AAZ_000165
N5.HOG0000064	OG0000036	n0																	AAH_000162				AAF_000157										AAZ_000161
