HOG	OG	Gene Tree Parent Clade	Ref_Epa_from_V583_fai-gene-cluster-1	t10_fai-gene-cluster-1	t11_fai-gene-cluster-1	t12_fai-gene-cluster-1	t13_fai-gene-cluster-1	t14_fai-gene-cluster-1	t15_fai-gene-cluster-1	t16_fai-gene-cluster-1	t17_fai-gene-cluster-1	t18_fai-gene-cluster-1	t19_fai-gene-cluster-1	t1_fai-gene-cluster-1	t20_fai-gene-cluster-1	t21_fai-gene-cluster-1	t22_fai-gene-cluster-1	t23_fai-gene-cluster-1	t24_fai-gene-cluster-1	t25_fai-gene-cluster-1	t26_fai-gene-cluster-1	t27_fai-gene-cluster-1	t28_fai-gene-cluster-1	t29_fai-gene-cluster-1	t2_fai-gene-cluster-1	t30_fai-gene-cluster-1	t3_fai-gene-cluster-1	t4_fai-gene-cluster-1	t5_fai-gene-cluster-1	t6_fai-gene-cluster-1	t7_fai-gene-cluster-1	t8_fai-gene-cluster-1	t9_fai-gene-cluster-1
N24.HOG0000000	OG0000000	n1									AAO_000218																					AAE_000216	
N24.HOG0000001	OG0000000	n55									AAO_000225																						
N24.HOG0000002	OG0000000	n64																														AAE_000222	
N24.HOG0000003	OG0000000	n79									AAO_000226																					AAE_000223	
N24.HOG0000004	OG0000000	n82									AAO_000227																					AAE_000224	
N24.HOG0000005	OG0000000	n94									AAO_000228																					AAE_000225	
N24.HOG0000006	OG0000000	n100									AAO_000219																					AAE_000217	
N24.HOG0000007	OG0000000	n108									AAO_000230																					AAE_000227	
N24.HOG0000008	OG0000000	n111									AAO_000229																					AAE_000226	
N24.HOG0000009	OG0000000	n129									AAO_000221																					AAE_000218	
N24.HOG0000010	OG0000000	n132									AAO_000222																					AAE_000219	
N24.HOG0000011	OG0000000	n143									AAO_000223																					AAE_000220	
N24.HOG0000012	OG0000000	n147									AAO_000224																					AAE_000221	
N24.HOG0000013	OG0000001	n11									AAO_000203																					AAE_000198	
N24.HOG0000014	OG0000001	n39									AAO_000238																					AAE_000235	
N24.HOG0000015	OG0000001	n47									AAO_000204																					AAE_000199	
N24.HOG0000016	OG0000001	n90									AAO_000237																					AAE_000234	
N24.HOG0000017	OG0000002	n5									AAO_000205																					AAE_000201	
N24.HOG0000018	OG0000002	n27									AAO_000206																					AAE_000202	
N24.HOG0000019	OG0000002	n41									AAO_000207																					AAE_000203	
N24.HOG0000020	OG0000002	n61									AAO_000209																					AAE_000205	
N24.HOG0000021	OG0000002	n83									AAO_000208																					AAE_000204	
N24.HOG0000022	OG0000003	n4									AAO_000215																					AAE_000213	
N24.HOG0000023	OG0000003	n33									AAO_000216																					AAE_000214	
N24.HOG0000024	OG0000003	n44									AAO_000217																					AAE_000215	
N24.HOG0000025	OG0000004	n46									AAO_000188																					AAE_000182	
N24.HOG0000026	OG0000005	n1									AAO_000231																					AAE_000228	
N24.HOG0000027	OG0000005	n22									AAO_000232																					AAE_000229	
N24.HOG0000028	OG0000005	n26									AAO_000234																					AAE_000231	
N24.HOG0000029	OG0000005	n30									AAO_000233																					AAE_000230	
N24.HOG0000030	OG0000006	n1									AAO_000198																					AAE_000192	
N24.HOG0000031	OG0000006	n31									AAO_000197																					AAE_000191	
N24.HOG0000032	OG0000007	n5									AAO_000214																					AAE_000212	
N24.HOG0000033	OG0000007	n28									AAO_000213																					AAE_000211	
N24.HOG0000034	OG0000008	n4									AAO_000211																					AAE_000208	
N24.HOG0000035	OG0000008	n24																														AAE_000209	
N24.HOG0000036	OG0000008	n30																														AAE_000210	
N24.HOG0000037	OG0000008	n37									AAO_000212																						
N24.HOG0000038	OG0000009	n28									AAO_000245																					AAE_000243	
N24.HOG0000039	OG0000010	n2									AAO_000189																					AAE_000184	
N24.HOG0000040	OG0000010	n24									AAO_000191																					AAE_000186	
N24.HOG0000041	OG0000011	n5									AAO_000194																					AAE_000188	
N24.HOG0000042	OG0000011	n39									AAO_000192																					AAE_000187	
N24.HOG0000043	OG0000011	n46									AAO_000193																						
N24.HOG0000044	OG0000012	n16									AAO_000258																					AAE_000257	
N24.HOG0000045	OG0000012	n29									AAO_000257																					AAE_000256	
N24.HOG0000046	OG0000013	n4									AAO_000199																					AAE_000193	
N24.HOG0000047	OG0000013	n26									AAO_000200																					AAE_000194	
N24.HOG0000048	OG0000014	n15									AAO_000253																					AAE_000251	
N24.HOG0000049	OG0000014	n31									AAO_000252																					AAE_000250	
N24.HOG0000050	OG0000016	n11									AAO_000240																					AAE_000237	
N24.HOG0000051	OG0000017	n8									AAO_000246																					AAE_000244	
N24.HOG0000052	OG0000017	n24									AAO_000247																					AAE_000245	
N24.HOG0000053	OG0000018	n8									AAO_000196																					AAE_000190	
N24.HOG0000054	OG0000018	n22									AAO_000195																					AAE_000189	
N24.HOG0000055	OG0000019	n15									AAO_000259																					AAE_000258	
N24.HOG0000056	OG0000020	n20									AAO_000201																					AAE_000195	
N24.HOG0000057	OG0000021	n36									AAO_000244																					AAE_000242	
N24.HOG0000058	OG0000022	n2									AAO_000186																					AAE_000180	
N24.HOG0000059	OG0000022	n12									AAO_000187																					AAE_000181	
N24.HOG0000060	OG0000023	n7									AAO_000202																					AAE_000196	
N24.HOG0000061	OG0000023	n29																														AAE_000197	
N24.HOG0000062	OG0000024	n31									AAO_000249																					AAE_000247	
N24.HOG0000063	OG0000025	n5									AAO_000250																					AAE_000248	
N24.HOG0000064	OG0000025	n11									AAO_000251																					AAE_000249	
N24.HOG0000065	OG0000026	n18																														AAE_000255	
N24.HOG0000066	OG0000026	n21									AAO_000256																					AAE_000254	
N24.HOG0000067	OG0000027	n14																														AAE_000206	
N24.HOG0000068	OG0000027	n17									AAO_000210																						
N24.HOG0000069	OG0000028	n14									AAO_000248																					AAE_000246	
N24.HOG0000070	OG0000029	n20									AAO_000254																					AAE_000252	
N24.HOG0000071	OG0000029	n25									AAO_000255																					AAE_000253	
N24.HOG0000072	OG0000031	n3									AAO_000242																					AAE_000239	
N24.HOG0000073	OG0000031	n20									AAO_000241																					AAE_000238	
N24.HOG0000074	OG0000032	n0									AAO_000260																					AAE_000260	
N24.HOG0000075	OG0000033	n0									AAO_000236																					AAE_000233	
N24.HOG0000076	OG0000034	n13									AAO_000235																						
N24.HOG0000077	OG0000035	n10																														AAE_000241	
N24.HOG0000078	OG0000035	n12																														AAE_000240	
N24.HOG0000079	OG0000035	n19									AAO_000243																						
N24.HOG0000080	OG0000036	n0									AAO_000239																					AAE_000236	
N24.HOG0000081	OG0000037	n0																														AAE_000207	
N24.HOG0000082	OG0000039	n0									AAO_000184																					AAE_000178	
N24.HOG0000083	OG0000040	n0									AAO_000190																					AAE_000185	
