HOG	OG	Gene Tree Parent Clade	Ref_Epa_from_V583_fai-gene-cluster-1	t10_fai-gene-cluster-1	t11_fai-gene-cluster-1	t12_fai-gene-cluster-1	t13_fai-gene-cluster-1	t14_fai-gene-cluster-1	t15_fai-gene-cluster-1	t16_fai-gene-cluster-1	t17_fai-gene-cluster-1	t18_fai-gene-cluster-1	t19_fai-gene-cluster-1	t1_fai-gene-cluster-1	t20_fai-gene-cluster-1	t21_fai-gene-cluster-1	t22_fai-gene-cluster-1	t23_fai-gene-cluster-1	t24_fai-gene-cluster-1	t25_fai-gene-cluster-1	t26_fai-gene-cluster-1	t27_fai-gene-cluster-1	t28_fai-gene-cluster-1	t29_fai-gene-cluster-1	t2_fai-gene-cluster-1	t30_fai-gene-cluster-1	t3_fai-gene-cluster-1	t4_fai-gene-cluster-1	t5_fai-gene-cluster-1	t6_fai-gene-cluster-1	t7_fai-gene-cluster-1	t8_fai-gene-cluster-1	t9_fai-gene-cluster-1
N16.HOG0000000	OG0000000	n1						AAD_000206			AAO_000218		AAR_000200																			AAE_000216	
N16.HOG0000001	OG0000000	n55						AAD_000210			AAO_000225																						
N16.HOG0000002	OG0000000	n64											AAR_000204																			AAE_000222	
N16.HOG0000003	OG0000000	n79						AAD_000211			AAO_000226																					AAE_000223	
N16.HOG0000004	OG0000000	n82						AAD_000212			AAO_000227		AAR_000205																			AAE_000224	
N16.HOG0000005	OG0000000	n94									AAO_000228		AAR_000206																			AAE_000225	
N16.HOG0000006	OG0000000	n100									AAO_000219																					AAE_000217	
N16.HOG0000007	OG0000000	n108						AAD_000214			AAO_000230		AAR_000208																			AAE_000227	
N16.HOG0000008	OG0000000	n111						AAD_000213			AAO_000229		AAR_000207																			AAE_000226	
N16.HOG0000009	OG0000000	n129						AAD_000207			AAO_000221																					AAE_000218	
N16.HOG0000010	OG0000000	n132									AAO_000222																					AAE_000219	
N16.HOG0000011	OG0000000	n143						AAD_000208			AAO_000223																					AAE_000220	
N16.HOG0000012	OG0000000	n147						AAD_000209			AAO_000224		AAR_000202																			AAE_000221	
N16.HOG0000013	OG0000001	n11						AAD_000190			AAO_000203																					AAE_000198	
N16.HOG0000014	OG0000001	n39						AAD_000222			AAO_000238																					AAE_000235	
N16.HOG0000015	OG0000001	n42						AAD_000192					AAR_000187																				
N16.HOG0000016	OG0000001	n47						AAD_000191			AAO_000204																					AAE_000199	
N16.HOG0000017	OG0000001	n90						AAD_000221			AAO_000237		AAR_000214																			AAE_000234	
N16.HOG0000018	OG0000001	n94											AAR_000186																				
N16.HOG0000019	OG0000002	n5						AAD_000193			AAO_000205		AAR_000188																			AAE_000201	
N16.HOG0000020	OG0000002	n27						AAD_000194			AAO_000206																					AAE_000202	
N16.HOG0000021	OG0000002	n41						AAD_000195			AAO_000207		AAR_000189																			AAE_000203	
N16.HOG0000022	OG0000002	n61						AAD_000197			AAO_000209		AAR_000191																			AAE_000205	
N16.HOG0000023	OG0000002	n83						AAD_000196			AAO_000208		AAR_000190																			AAE_000204	
N16.HOG0000024	OG0000003	n4						AAD_000203			AAO_000215		AAR_000197																			AAE_000213	
N16.HOG0000025	OG0000003	n33						AAD_000204			AAO_000216		AAR_000198																			AAE_000214	
N16.HOG0000026	OG0000003	n44						AAD_000205			AAO_000217		AAR_000199																			AAE_000215	
N16.HOG0000027	OG0000004	n31											AAR_000168																				
N16.HOG0000028	OG0000004	n46						AAD_000174			AAO_000188		AAR_000169																			AAE_000182	
N16.HOG0000029	OG0000005	n1						AAD_000215			AAO_000231		AAR_000209																			AAE_000228	
N16.HOG0000030	OG0000005	n22									AAO_000232																					AAE_000229	
N16.HOG0000031	OG0000005	n26						AAD_000217			AAO_000234		AAR_000211																			AAE_000231	
N16.HOG0000032	OG0000005	n30									AAO_000233																					AAE_000230	
N16.HOG0000033	OG0000005	n42						AAD_000216					AAR_000210																				
N16.HOG0000034	OG0000006	n1						AAD_000185			AAO_000198		AAR_000180																			AAE_000192	
N16.HOG0000035	OG0000006	n31						AAD_000184			AAO_000197		AAR_000179																			AAE_000191	
N16.HOG0000036	OG0000007	n5						AAD_000202			AAO_000214		AAR_000196																			AAE_000212	
N16.HOG0000037	OG0000007	n28						AAD_000201			AAO_000213		AAR_000195																			AAE_000211	
N16.HOG0000038	OG0000008	n4						AAD_000199			AAO_000211																					AAE_000208	
N16.HOG0000039	OG0000008	n24																														AAE_000209	
N16.HOG0000040	OG0000008	n30																														AAE_000210	
N16.HOG0000041	OG0000008	n37						AAD_000200			AAO_000212																						
N16.HOG0000042	OG0000009	n28						AAD_000230			AAO_000245		AAR_000222																			AAE_000243	
N16.HOG0000043	OG0000010	n2						AAD_000179			AAO_000189		AAR_000171																			AAE_000184	
N16.HOG0000044	OG0000010	n24						AAD_000180			AAO_000191		AAR_000173																			AAE_000186	
N16.HOG0000045	OG0000011	n5						AAD_000182			AAO_000194		AAR_000176																			AAE_000188	
N16.HOG0000046	OG0000011	n39						AAD_000181			AAO_000192																					AAE_000187	
N16.HOG0000047	OG0000011	n46									AAO_000193		AAR_000175																				
N16.HOG0000048	OG0000011	n51											AAR_000174																				
N16.HOG0000049	OG0000012	n16									AAO_000258																					AAE_000257	
N16.HOG0000050	OG0000012	n29						AAD_000240			AAO_000257		AAR_000231																			AAE_000256	
N16.HOG0000051	OG0000013	n4						AAD_000186			AAO_000199		AAR_000181																			AAE_000193	
N16.HOG0000052	OG0000013	n26						AAD_000187			AAO_000200		AAR_000182																			AAE_000194	
N16.HOG0000053	OG0000014	n15						AAD_000237			AAO_000253		AAR_000228																			AAE_000251	
N16.HOG0000054	OG0000014	n31						AAD_000236			AAO_000252		AAR_000227																			AAE_000250	
N16.HOG0000055	OG0000016	n2											AAR_000216																				
N16.HOG0000056	OG0000016	n11						AAD_000225			AAO_000240																					AAE_000237	
N16.HOG0000057	OG0000016	n25						AAD_000224																									
N16.HOG0000058	OG0000017	n8									AAO_000246																					AAE_000244	
N16.HOG0000059	OG0000017	n15						AAD_000231					AAR_000223																				
N16.HOG0000060	OG0000017	n24									AAO_000247																					AAE_000245	
N16.HOG0000061	OG0000018	n8						AAD_000183			AAO_000196		AAR_000178																			AAE_000190	
N16.HOG0000062	OG0000018	n22									AAO_000195		AAR_000177																			AAE_000189	
N16.HOG0000063	OG0000019	n15						AAD_000241			AAO_000259		AAR_000232																			AAE_000258	
N16.HOG0000064	OG0000020	n8											AAR_000183																				
N16.HOG0000065	OG0000020	n20						AAD_000188			AAO_000201		AAR_000184																			AAE_000195	
N16.HOG0000066	OG0000021	n36						AAD_000229			AAO_000244		AAR_000221																			AAE_000242	
N16.HOG0000067	OG0000022	n2									AAO_000186																					AAE_000180	
N16.HOG0000068	OG0000022	n12						AAD_000173			AAO_000187		AAR_000167																			AAE_000181	
N16.HOG0000069	OG0000022	n36						AAD_000172																									
N16.HOG0000070	OG0000023	n7						AAD_000189			AAO_000202		AAR_000185																			AAE_000196	
N16.HOG0000071	OG0000023	n29																														AAE_000197	
N16.HOG0000072	OG0000024	n31						AAD_000233			AAO_000249		AAR_000225																			AAE_000247	
N16.HOG0000073	OG0000025	n5						AAD_000234			AAO_000250																					AAE_000248	
N16.HOG0000074	OG0000025	n11						AAD_000235			AAO_000251		AAR_000226																			AAE_000249	
N16.HOG0000075	OG0000026	n18																														AAE_000255	
N16.HOG0000076	OG0000026	n21						AAD_000239			AAO_000256																					AAE_000254	
N16.HOG0000077	OG0000027	n14																														AAE_000206	
N16.HOG0000078	OG0000027	n17						AAD_000198			AAO_000210		AAR_000192																				
N16.HOG0000079	OG0000028	n14									AAO_000248																					AAE_000246	
N16.HOG0000080	OG0000028	n16						AAD_000232																									
