HOG	OG	Gene Tree Parent Clade	Ref_Epa_from_V583_fai-gene-cluster-1	t10_fai-gene-cluster-1	t11_fai-gene-cluster-1	t12_fai-gene-cluster-1	t13_fai-gene-cluster-1	t14_fai-gene-cluster-1	t15_fai-gene-cluster-1	t16_fai-gene-cluster-1	t17_fai-gene-cluster-1	t18_fai-gene-cluster-1	t19_fai-gene-cluster-1	t1_fai-gene-cluster-1	t20_fai-gene-cluster-1	t21_fai-gene-cluster-1	t22_fai-gene-cluster-1	t23_fai-gene-cluster-1	t24_fai-gene-cluster-1	t25_fai-gene-cluster-1	t26_fai-gene-cluster-1	t27_fai-gene-cluster-1	t28_fai-gene-cluster-1	t29_fai-gene-cluster-1	t2_fai-gene-cluster-1	t30_fai-gene-cluster-1	t3_fai-gene-cluster-1	t4_fai-gene-cluster-1	t5_fai-gene-cluster-1	t6_fai-gene-cluster-1	t7_fai-gene-cluster-1	t8_fai-gene-cluster-1	t9_fai-gene-cluster-1
N27.HOG0000000	OG0000000	n20								ABA_000190												AAP_000187											
N27.HOG0000001	OG0000000	n32								ABA_000191												AAP_000188											
N27.HOG0000002	OG0000000	n41																				AAP_000191											
N27.HOG0000003	OG0000000	n52								ABA_000193																							
N27.HOG0000004	OG0000000	n79								ABA_000194																							
N27.HOG0000005	OG0000000	n98								ABA_000195												AAP_000192											
N27.HOG0000006	OG0000000	n132																				AAP_000189											
N27.HOG0000007	OG0000000	n141								ABA_000192																							
N27.HOG0000008	OG0000000	n147																				AAP_000190											
N27.HOG0000009	OG0000001	n11								ABA_000172												AAP_000175											
N27.HOG0000010	OG0000001	n27								ABA_000174																							
N27.HOG0000011	OG0000001	n45								ABA_000200												AAP_000198											
N27.HOG0000012	OG0000001	n47								ABA_000173																							
N27.HOG0000013	OG0000001	n65								ABA_000199												AAP_000197											
N27.HOG0000014	OG0000002	n27								ABA_000175												AAP_000176											
N27.HOG0000015	OG0000002	n41								ABA_000176												AAP_000177											
N27.HOG0000016	OG0000002	n65								ABA_000177																							
N27.HOG0000017	OG0000003	n4								ABA_000186												AAP_000183											
N27.HOG0000018	OG0000003	n33								ABA_000187												AAP_000184											
N27.HOG0000019	OG0000003	n50																				AAP_000185											
N27.HOG0000020	OG0000003	n51								ABA_000189												AAP_000186											
N27.HOG0000021	OG0000004	n18								ABA_000158												AAP_000159											
N27.HOG0000022	OG0000004	n22								ABA_000159												AAP_000160											
N27.HOG0000023	OG0000004	n31								ABA_000157												AAP_000158											
N27.HOG0000024	OG0000004	n46								ABA_000160												AAP_000161											
N27.HOG0000025	OG0000005	n1								ABA_000196												AAP_000193											
N27.HOG0000026	OG0000005	n42																				AAP_000194											
N27.HOG0000027	OG0000005	n56								ABA_000197																							
N27.HOG0000028	OG0000006	n1								ABA_000167												AAP_000169, AAP_000170											
N27.HOG0000029	OG0000006	n31																				AAP_000168											
N27.HOG0000030	OG0000007	n10								ABA_000185												AAP_000181											
N27.HOG0000031	OG0000007	n15																				AAP_000182											
N27.HOG0000032	OG0000007	n28								ABA_000184																							
N27.HOG0000033	OG0000009	n3								ABA_000204												AAP_000203											
N27.HOG0000034	OG0000009	n28								ABA_000205																							
N27.HOG0000035	OG0000010	n24								ABA_000161												AAP_000163											
N27.HOG0000036	OG0000011	n5								ABA_000164												AAP_000166											
N27.HOG0000037	OG0000011	n37								ABA_000162												AAP_000165											
N27.HOG0000038	OG0000011	n39																				AAP_000164											
N27.HOG0000039	OG0000011	n46								ABA_000163																							
N27.HOG0000040	OG0000012	n28								ABA_000217												AAP_000214											
N27.HOG0000041	OG0000012	n29								ABA_000216												AAP_000213											
N27.HOG0000042	OG0000013	n4								ABA_000168												AAP_000171											
N27.HOG0000043	OG0000013	n26								ABA_000169												AAP_000172											
