HOG	OG	Gene Tree Parent Clade	Ref_Epa_from_V583_fai-gene-cluster-1	t10_fai-gene-cluster-1	t11_fai-gene-cluster-1	t12_fai-gene-cluster-1	t13_fai-gene-cluster-1	t14_fai-gene-cluster-1	t15_fai-gene-cluster-1	t16_fai-gene-cluster-1	t17_fai-gene-cluster-1	t18_fai-gene-cluster-1	t19_fai-gene-cluster-1	t1_fai-gene-cluster-1	t20_fai-gene-cluster-1	t21_fai-gene-cluster-1	t22_fai-gene-cluster-1	t23_fai-gene-cluster-1	t24_fai-gene-cluster-1	t25_fai-gene-cluster-1	t26_fai-gene-cluster-1	t27_fai-gene-cluster-1	t28_fai-gene-cluster-1	t29_fai-gene-cluster-1	t2_fai-gene-cluster-1	t30_fai-gene-cluster-1	t3_fai-gene-cluster-1	t4_fai-gene-cluster-1	t5_fai-gene-cluster-1	t6_fai-gene-cluster-1	t7_fai-gene-cluster-1	t8_fai-gene-cluster-1	t9_fai-gene-cluster-1
N28.HOG0000000	OG0000000	n3																						ABE_000193									
N28.HOG0000001	OG0000000	n20																										ABD_000217					
N28.HOG0000002	OG0000000	n37																										ABD_000220					
N28.HOG0000003	OG0000000	n43																						ABE_000194									
N28.HOG0000004	OG0000000	n50																			AAM_000209							ABD_000222					
N28.HOG0000005	OG0000000	n52																										ABD_000223					
N28.HOG0000006	OG0000000	n64																			AAM_000210							ABD_000224					
N28.HOG0000007	OG0000000	n88																			AAM_000211							ABD_000225					
N28.HOG0000008	OG0000000	n143																			AAM_000208							ABD_000219					
N28.HOG0000009	OG0000001	n11																			AAM_000190			ABE_000173				ABD_000198, ABD_000196					
N28.HOG0000010	OG0000001	n27																			AAM_000192			ABE_000175				ABD_000231, ABD_000199					
N28.HOG0000011	OG0000001	n47																			AAM_000191			ABE_000174				ABD_000197					
N28.HOG0000012	OG0000001	n65																			AAM_000216			ABE_000198				ABD_000230					
N28.HOG0000013	OG0000002	n5																			AAM_000193			ABE_000176				ABD_000200					
N28.HOG0000014	OG0000002	n27																			AAM_000194			ABE_000177									
N28.HOG0000015	OG0000002	n41																			AAM_000195			ABE_000178									
N28.HOG0000016	OG0000002	n65																			AAM_000196			ABE_000179				ABD_000201					
N28.HOG0000017	OG0000002	n71																			AAM_000197							ABD_000202					
N28.HOG0000018	OG0000003	n4																						ABE_000190									
N28.HOG0000019	OG0000003	n33																						ABE_000191									
N28.HOG0000020	OG0000003	n50																										ABD_000215					
N28.HOG0000021	OG0000003	n51																						ABE_000192				ABD_000216					
N28.HOG0000022	OG0000004	n16																										ABD_000178					
N28.HOG0000023	OG0000004	n22																			AAM_000178			ABE_000162				ABD_000180					
N28.HOG0000024	OG0000004	n31																			AAM_000177			ABE_000161				ABD_000179					
N28.HOG0000025	OG0000004	n46																			AAM_000179			ABE_000163				ABD_000181					
N28.HOG0000026	OG0000005	n1																			AAM_000212			ABE_000195				ABD_000226					
N28.HOG0000027	OG0000005	n22																			AAM_000213							ABD_000227					
N28.HOG0000028	OG0000005	n56																			AAM_000214			ABE_000196				ABD_000228					
N28.HOG0000029	OG0000006	n1																			AAM_000184			ABE_000168				ABD_000189					
N28.HOG0000030	OG0000006	n32																			AAM_000183			ABE_000167				ABD_000187					
N28.HOG0000031	OG0000006	n56																										ABD_000188					
N28.HOG0000032	OG0000007	n10																										ABD_000213					
N28.HOG0000033	OG0000007	n15																						ABE_000189				ABD_000211, ABD_000214					
N28.HOG0000034	OG0000007	n28																			AAM_000205			ABE_000188				ABD_000212					
N28.HOG0000035	OG0000008	n4																			AAM_000201			ABE_000185				ABD_000208					
N28.HOG0000036	OG0000008	n24																			AAM_000202			ABE_000186				ABD_000209					
N28.HOG0000037	OG0000008	n30																			AAM_000203			ABE_000187				ABD_000210					
N28.HOG0000038	OG0000009	n3																			AAM_000225			ABE_000206				ABD_000240					
N28.HOG0000039	OG0000009	n28																			AAM_000226			ABE_000207				ABD_000241					
N28.HOG0000040	OG0000010	n2																			AAM_000180			ABE_000164				ABD_000182					
N28.HOG0000041	OG0000011	n5																						ABE_000165				ABD_000184					
N28.HOG0000042	OG0000011	n46																			AAM_000181												
N28.HOG0000043	OG0000012	n12																						ABE_000217									
N28.HOG0000044	OG0000012	n14																										ABD_000252					
N28.HOG0000045	OG0000012	n16																			AAM_000240							ABD_000253					
N28.HOG0000046	OG0000012	n29																			AAM_000239			ABE_000216				ABD_000251					
N28.HOG0000047	OG0000013	n2																						ABE_000169									
N28.HOG0000048	OG0000013	n26																			AAM_000185							ABD_000190					
N28.HOG0000049	OG0000014	n15																			AAM_000235			ABE_000213				ABD_000248					
