HOG	OG	Gene Tree Parent Clade	Ref_Epa_from_V583_fai-gene-cluster-1	t10_fai-gene-cluster-1	t11_fai-gene-cluster-1	t12_fai-gene-cluster-1	t13_fai-gene-cluster-1	t14_fai-gene-cluster-1	t15_fai-gene-cluster-1	t16_fai-gene-cluster-1	t17_fai-gene-cluster-1	t18_fai-gene-cluster-1	t19_fai-gene-cluster-1	t1_fai-gene-cluster-1	t20_fai-gene-cluster-1	t21_fai-gene-cluster-1	t22_fai-gene-cluster-1	t23_fai-gene-cluster-1	t24_fai-gene-cluster-1	t25_fai-gene-cluster-1	t26_fai-gene-cluster-1	t27_fai-gene-cluster-1	t28_fai-gene-cluster-1	t29_fai-gene-cluster-1	t2_fai-gene-cluster-1	t30_fai-gene-cluster-1	t3_fai-gene-cluster-1	t4_fai-gene-cluster-1	t5_fai-gene-cluster-1	t6_fai-gene-cluster-1	t7_fai-gene-cluster-1	t8_fai-gene-cluster-1	t9_fai-gene-cluster-1
N15.HOG0000000	OG0000000	n1					AAT_000164													AAG_000158											AAC_000160		
N15.HOG0000001	OG0000000	n45					AAT_000166													AAG_000160											AAC_000162		
N15.HOG0000002	OG0000000	n64																		AAG_000161													
N15.HOG0000003	OG0000000	n92					AAT_000167													AAG_000162											AAC_000163		
N15.HOG0000004	OG0000000	n128					AAT_000165													AAG_000159													
N15.HOG0000005	OG0000001	n11					AAT_000149													AAG_000146											AAC_000147		
N15.HOG0000006	OG0000001	n47					AAT_000150													AAG_000147											AAC_000148		
N15.HOG0000007	OG0000001	n65					AAT_000172													AAG_000167											AAC_000167		
N15.HOG0000008	OG0000002	n4					AAT_000151													AAG_000148											AAC_000149		
N15.HOG0000009	OG0000002	n41					AAT_000152													AAG_000149											AAC_000150		
N15.HOG0000010	OG0000002	n61					AAT_000153													AAG_000150											AAC_000151		
N15.HOG0000011	OG0000003	n4					AAT_000161													AAG_000155											AAC_000157		
N15.HOG0000012	OG0000003	n44					AAT_000163													AAG_000157											AAC_000159		
N15.HOG0000013	OG0000003	n69					AAT_000162													AAG_000156											AAC_000158		
N15.HOG0000014	OG0000004	n4					AAT_000135													AAG_000132											AAC_000133		
N15.HOG0000015	OG0000004	n46					AAT_000136													AAG_000133											AAC_000134		
N15.HOG0000016	OG0000005	n33					AAT_000168													AAG_000163											AAC_000164		
N15.HOG0000017	OG0000006	n1					AAT_000145													AAG_000142											AAC_000143		
N15.HOG0000018	OG0000006	n31					AAT_000144													AAG_000141											AAC_000142		
N15.HOG0000019	OG0000007	n15					AAT_000159, AAT_000160																										
N15.HOG0000020	OG0000007	n28					AAT_000158																										
N15.HOG0000021	OG0000007	n46																		AAG_000154											AAC_000156		
N15.HOG0000022	OG0000008	n4					AAT_000156																										
N15.HOG0000023	OG0000008	n18					AAT_000157													AAG_000153											AAC_000155		
N15.HOG0000024	OG0000009	n3					AAT_000177													AAG_000172											AAC_000172		
N15.HOG0000025	OG0000009	n28					AAT_000178													AAG_000173											AAC_000173		
N15.HOG0000026	OG0000010	n2					AAT_000138													AAG_000135											AAC_000136		
N15.HOG0000027	OG0000010	n24					AAT_000139													AAG_000136											AAC_000137		
N15.HOG0000028	OG0000011	n5					AAT_000141													AAG_000138											AAC_000139		
N15.HOG0000029	OG0000011	n27					AAT_000140													AAG_000137											AAC_000138		
N15.HOG0000030	OG0000012	n14					AAT_000187													AAG_000182													
N15.HOG0000031	OG0000012	n16					AAT_000188													AAG_000183											AAC_000182		
N15.HOG0000032	OG0000012	n29					AAT_000186													AAG_000181											AAC_000181		
N15.HOG0000033	OG0000013	n4					AAT_000146													AAG_000143											AAC_000144		
N15.HOG0000034	OG0000014	n0					AAT_000183													AAG_000178											AAC_000178		
N15.HOG0000035	OG0000015	n3					AAT_000154													AAG_000151											AAC_000152		
N15.HOG0000036	OG0000015	n22																													AAC_000153		
N15.HOG0000037	OG0000016	n11					AAT_000175													AAG_000170											AAC_000170		
N15.HOG0000038	OG0000016	n29					AAT_000174													AAG_000169											AAC_000169		
N15.HOG0000039	OG0000017	n32					AAT_000179													AAG_000174											AAC_000174		
N15.HOG0000040	OG0000018	n5					AAT_000143													AAG_000140											AAC_000141		
