HOG	OG	Gene Tree Parent Clade	Ref_Epa_from_V583_fai-gene-cluster-1	t10_fai-gene-cluster-1	t11_fai-gene-cluster-1	t12_fai-gene-cluster-1	t13_fai-gene-cluster-1	t14_fai-gene-cluster-1	t15_fai-gene-cluster-1	t16_fai-gene-cluster-1	t17_fai-gene-cluster-1	t18_fai-gene-cluster-1	t19_fai-gene-cluster-1	t1_fai-gene-cluster-1	t20_fai-gene-cluster-1	t21_fai-gene-cluster-1	t22_fai-gene-cluster-1	t23_fai-gene-cluster-1	t24_fai-gene-cluster-1	t25_fai-gene-cluster-1	t26_fai-gene-cluster-1	t27_fai-gene-cluster-1	t28_fai-gene-cluster-1	t29_fai-gene-cluster-1	t2_fai-gene-cluster-1	t30_fai-gene-cluster-1	t3_fai-gene-cluster-1	t4_fai-gene-cluster-1	t5_fai-gene-cluster-1	t6_fai-gene-cluster-1	t7_fai-gene-cluster-1	t8_fai-gene-cluster-1	t9_fai-gene-cluster-1
N23.HOG0000000	OG0000000	n7																												AAX_000158			
N23.HOG0000001	OG0000000	n20		ABB_000170																													
N23.HOG0000002	OG0000000	n32		ABB_000171																													
N23.HOG0000003	OG0000000	n82		ABB_000174																													
N23.HOG0000004	OG0000000	n104		ABB_000175																										AAX_000161			
N23.HOG0000005	OG0000000	n107																												AAX_000160			
N23.HOG0000006	OG0000001	n47		ABB_000180																										AAX_000165			
N23.HOG0000007	OG0000001	n65		ABB_000158																										AAX_000148			
N23.HOG0000008	OG0000002	n5		ABB_000160																										AAX_000149			
N23.HOG0000009	OG0000002	n61		ABB_000162																										AAX_000150			
N23.HOG0000010	OG0000002	n83		ABB_000161																													
N23.HOG0000011	OG0000003	n2		ABB_000169																													
N23.HOG0000012	OG0000003	n4																												AAX_000156			
N23.HOG0000013	OG0000003	n44																												AAX_000157			
N23.HOG0000014	OG0000004	n22																												AAX_000131			
N23.HOG0000015	OG0000004	n31																												AAX_000130			
N23.HOG0000016	OG0000004	n46		ABB_000144																										AAX_000132			
N23.HOG0000017	OG0000005	n1		ABB_000176																													
N23.HOG0000018	OG0000005	n49		ABB_000177																										AAX_000162			
N23.HOG0000019	OG0000006	n1		ABB_000153																										AAX_000142			
N23.HOG0000020	OG0000006	n31																												AAX_000141			
N23.HOG0000021	OG0000007	n15		ABB_000168																													
N23.HOG0000022	OG0000007	n28		ABB_000167																													
N23.HOG0000023	OG0000007	n46																												AAX_000155			
N23.HOG0000024	OG0000008	n2		ABB_000166																										AAX_000154			
N23.HOG0000025	OG0000009	n3		ABB_000185																										AAX_000171			
N23.HOG0000026	OG0000009	n28		ABB_000186																										AAX_000172			
N23.HOG0000027	OG0000010	n2		ABB_000147																										AAX_000135			
