HOG	OG	Gene Tree Parent Clade	Ref_Epa_from_V583_fai-gene-cluster-1	t10_fai-gene-cluster-1	t11_fai-gene-cluster-1	t12_fai-gene-cluster-1	t13_fai-gene-cluster-1	t14_fai-gene-cluster-1	t15_fai-gene-cluster-1	t16_fai-gene-cluster-1	t17_fai-gene-cluster-1	t18_fai-gene-cluster-1	t19_fai-gene-cluster-1	t1_fai-gene-cluster-1	t20_fai-gene-cluster-1	t21_fai-gene-cluster-1	t22_fai-gene-cluster-1	t23_fai-gene-cluster-1	t24_fai-gene-cluster-1	t25_fai-gene-cluster-1	t26_fai-gene-cluster-1	t27_fai-gene-cluster-1	t28_fai-gene-cluster-1	t29_fai-gene-cluster-1	t2_fai-gene-cluster-1	t30_fai-gene-cluster-1	t3_fai-gene-cluster-1	t4_fai-gene-cluster-1	t5_fai-gene-cluster-1	t6_fai-gene-cluster-1	t7_fai-gene-cluster-1	t8_fai-gene-cluster-1	t9_fai-gene-cluster-1
N17.HOG0000000	OG0000000	n3															AAU_000193							ABE_000193			AAK_000184						
N17.HOG0000001	OG0000000	n20								ABA_000190												AAP_000187						ABD_000217					
N17.HOG0000002	OG0000000	n32								ABA_000191												AAP_000188							AAW_000187				
N17.HOG0000003	OG0000000	n37																										ABD_000220	AAW_000186				
N17.HOG0000004	OG0000000	n41														AAS_000186						AAP_000191											
N17.HOG0000005	OG0000000	n43																						ABE_000194					AAW_000189				
N17.HOG0000006	OG0000000	n50																			AAM_000209							ABD_000222					
N17.HOG0000007	OG0000000	n52								ABA_000193																		ABD_000223					
N17.HOG0000008	OG0000000	n64																			AAM_000210							ABD_000224					
N17.HOG0000009	OG0000000	n79								ABA_000194																							
N17.HOG0000010	OG0000000	n88															AAU_000195				AAM_000211							ABD_000225					
N17.HOG0000011	OG0000000	n98								ABA_000195												AAP_000192											
N17.HOG0000012	OG0000000	n104																									AAK_000188						
N17.HOG0000013	OG0000000	n107														AAS_000187											AAK_000187, AAK_000186						
N17.HOG0000014	OG0000000	n132																				AAP_000189											
N17.HOG0000015	OG0000000	n141								ABA_000192						AAS_000185																	
N17.HOG0000016	OG0000000	n143																			AAM_000208							ABD_000219					
N17.HOG0000017	OG0000000	n147																				AAP_000190											
N17.HOG0000018	OG0000001	n11								ABA_000172						AAS_000165	AAU_000174				AAM_000190	AAP_000175		ABE_000173			AAK_000168	ABD_000198, ABD_000196	AAW_000168				
N17.HOG0000019	OG0000001	n27								ABA_000174						AAS_000167					AAM_000192			ABE_000175			AAK_000170	ABD_000231, ABD_000199	AAW_000170				
N17.HOG0000020	OG0000001	n45								ABA_000200						AAS_000194						AAP_000198											
N17.HOG0000021	OG0000001	n47								ABA_000173						AAS_000166	AAU_000175				AAM_000191			ABE_000174			AAK_000169	ABD_000197	AAW_000169				
N17.HOG0000022	OG0000001	n65								ABA_000199						AAS_000193	AAU_000199				AAM_000216	AAP_000197		ABE_000198			AAK_000192	ABD_000230	AAW_000194				
N17.HOG0000023	OG0000002	n5														AAS_000168	AAU_000176				AAM_000193			ABE_000176			AAK_000171	ABD_000200	AAW_000171				
N17.HOG0000024	OG0000002	n27								ABA_000175											AAM_000194	AAP_000176		ABE_000177					AAW_000172				
N17.HOG0000025	OG0000002	n41								ABA_000176						AAS_000169	AAU_000177				AAM_000195	AAP_000177		ABE_000178			AAK_000172		AAW_000173				
N17.HOG0000026	OG0000002	n65								ABA_000177						AAS_000170	AAU_000178				AAM_000196			ABE_000179				ABD_000201	AAW_000174				
N17.HOG0000027	OG0000002	n71														AAS_000172					AAM_000197							ABD_000202					
N17.HOG0000028	OG0000003	n4								ABA_000186						AAS_000181	AAU_000190					AAP_000183		ABE_000190			AAK_000181		AAW_000183				
N17.HOG0000029	OG0000003	n33								ABA_000187						AAS_000182	AAU_000191					AAP_000184		ABE_000191			AAK_000182		AAW_000184				
N17.HOG0000030	OG0000003	n50																				AAP_000185						ABD_000215					
N17.HOG0000031	OG0000003	n51								ABA_000189						AAS_000183	AAU_000192					AAP_000186		ABE_000192			AAK_000183	ABD_000216	AAW_000185				
N17.HOG0000032	OG0000004	n16																										ABD_000178	AAW_000156				
N17.HOG0000033	OG0000004	n18								ABA_000158												AAP_000159											
N17.HOG0000034	OG0000004	n22								ABA_000159						AAS_000151					AAM_000178	AAP_000160		ABE_000162				ABD_000180	AAW_000158				
N17.HOG0000035	OG0000004	n31								ABA_000157						AAS_000150	AAU_000159				AAM_000177	AAP_000158		ABE_000161			AAK_000156	ABD_000179	AAW_000157				
N17.HOG0000036	OG0000004	n46								ABA_000160						AAS_000152	AAU_000160				AAM_000179	AAP_000161		ABE_000163			AAK_000157	ABD_000181	AAW_000159				
N17.HOG0000037	OG0000005	n1								ABA_000196						AAS_000189	AAU_000196				AAM_000212	AAP_000193		ABE_000195			AAK_000189	ABD_000226	AAW_000190				
N17.HOG0000038	OG0000005	n22																			AAM_000213							ABD_000227					
N17.HOG0000039	OG0000005	n42														AAS_000190						AAP_000194							AAW_000191				
N17.HOG0000040	OG0000005	n56								ABA_000197							AAU_000197				AAM_000214			ABE_000196			AAK_000190	ABD_000228					
N17.HOG0000041	OG0000006	n1								ABA_000167						AAS_000160	AAU_000169				AAM_000184	AAP_000169, AAP_000170		ABE_000168			AAK_000163	ABD_000189	AAW_000163				
N17.HOG0000042	OG0000006	n31														AAS_000159	AAU_000168, AAU_000167				AAM_000183	AAP_000168		ABE_000167			AAK_000162	ABD_000187, ABD_000188	AAW_000162				
N17.HOG0000043	OG0000007	n10								ABA_000185												AAP_000181						ABD_000213					
N17.HOG0000044	OG0000007	n15															AAU_000189					AAP_000182		ABE_000189				ABD_000211, ABD_000214					
N17.HOG0000045	OG0000007	n28								ABA_000184							AAU_000188				AAM_000205			ABE_000188			AAK_000180	ABD_000212	AAW_000182				
N17.HOG0000046	OG0000008	n4														AAS_000177	AAU_000185				AAM_000201			ABE_000185			AAK_000177	ABD_000208	AAW_000180				
N17.HOG0000047	OG0000008	n24														AAS_000178	AAU_000186				AAM_000202			ABE_000186			AAK_000178	ABD_000209					
N17.HOG0000048	OG0000008	n30														AAS_000179	AAU_000187				AAM_000203			ABE_000187			AAK_000179	ABD_000210	AAW_000181				
