Orthogroup	t18_fai-gene-cluster-1	Ref_Epa_from_V583_fai-gene-cluster-1
OG0000000	AAY_000158	AAB_000125
OG0000000	AAY_000157	AAB_000124
OG0000001	AAY_000141	AAB_000117, AAB_000129
OG0000002	AAY_000143, AAY_000144	AAB_000118
OG0000003	AAY_000154	AAB_000123
OG0000004	AAY_000127, AAY_000126	AAB_000108
OG0000005	AAY_000160	AAB_000126
OG0000006	AAY_000135	AAB_000113
OG0000007	AAY_000151, AAY_000152, AAY_000153	AAB_000122
OG0000008	AAY_000148, AAY_000150	AAB_000121
OG0000009	AAY_000170, AAY_000169, AAY_000171	AAB_000135
OG0000010	AAY_000132	AAB_000110
OG0000011	AAY_000133	AAB_000111
OG0000012	AAY_000179	AAB_000143
OG0000013	AAY_000137	AAB_000114
OG0000014	AAY_000176	AAB_000140
OG0000015	AAY_000146	AAB_000119
OG0000016	AAY_000165	AAB_000131
OG0000017	AAY_000172	AAB_000136
OG0000018	AAY_000134	AAB_000112
OG0000019	AAY_000180	AAB_000144
OG0000020	AAY_000138	AAB_000115
OG0000021	AAY_000168	AAB_000134
OG0000022	AAY_000125	AAB_000107
OG0000023	AAY_000140	AAB_000116
OG0000024	AAY_000174	AAB_000138
OG0000025	AAY_000175	AAB_000139
OG0000026	AAY_000178	AAB_000142
OG0000027	AAY_000147	AAB_000120
OG0000028	AAY_000173	AAB_000137
OG0000029	AAY_000177	AAB_000141
OG0000030	AAY_000129, AAY_000130	AAB_000109
OG0000032	AAY_000181	AAB_000145
OG0000033	AAY_000162	AAB_000128
OG0000034	AAY_000161	AAB_000127
OG0000035	AAY_000167	AAB_000133
OG0000036	AAY_000164	AAB_000130
