Orthogroup	t26_fai-gene-cluster-1	Ref_Epa_from_V583_fai-gene-cluster-1
OG0000000	AAM_000207	AAB_000124
OG0000000	AAM_000211	AAB_000125
OG0000001	AAM_000216	AAB_000129, AAB_000117
OG0000002	AAM_000195, AAM_000196, AAM_000197	AAB_000118
OG0000004	AAM_000178, AAM_000177	AAB_000108
OG0000005	AAM_000214	AAB_000126
OG0000006	AAM_000184	AAB_000113
OG0000007	AAM_000204, AAM_000205	AAB_000122
OG0000008	AAM_000202, AAM_000203	AAB_000121
OG0000009	AAM_000225, AAM_000226, AAM_000227	AAB_000135
OG0000010	AAM_000180	AAB_000110
OG0000012	AAM_000240, AAM_000239	AAB_000143
OG0000013	AAM_000185	AAB_000114
OG0000014	AAM_000235, AAM_000234	AAB_000140
OG0000015	AAM_000199	AAB_000119
OG0000016	AAM_000217	AAB_000131
OG0000017	AAM_000229	AAB_000136
OG0000019	AAM_000241, AAM_000243	AAB_000144
OG0000020	AAM_000186, AAM_000187	AAB_000115
OG0000021	AAM_000223	AAB_000134
OG0000022	AAM_000176	AAB_000107
OG0000023	AAM_000188, AAM_000189	AAB_000116
OG0000024	AAM_000232, AAM_000231	AAB_000138
OG0000025	AAM_000233	AAB_000139
OG0000026	AAM_000238	AAB_000142
OG0000027	AAM_000200	AAB_000120
OG0000028	AAM_000230	AAB_000137
OG0000029	AAM_000236, AAM_000237	AAB_000141
OG0000031	AAM_000221	AAB_000132
OG0000032	AAM_000244	AAB_000145
OG0000033	AAM_000215	AAB_000128
OG0000035	AAM_000222	AAB_000133
