Orthogroup	t9_fai-gene-cluster-1	Ref_Epa_from_V583_fai-gene-cluster-1
OG0000000	AAZ_000153	AAB_000124
OG0000000	AAZ_000154	AAB_000125
OG0000001	AAZ_000141	AAB_000129, AAB_000117
OG0000002	AAZ_000143, AAZ_000145, AAZ_000144	AAB_000118
OG0000003	AAZ_000152	AAB_000123
OG0000004	AAZ_000126	AAB_000108
OG0000005	AAZ_000157	AAB_000126
OG0000006	AAZ_000134	AAB_000113
OG0000007	AAZ_000151, AAZ_000150	AAB_000122
OG0000008	AAZ_000149	AAB_000121
OG0000009	AAZ_000168	AAB_000135
OG0000010	AAZ_000128, AAZ_000130, AAZ_000129	AAB_000110
OG0000011	AAZ_000131	AAB_000111
OG0000012	AAZ_000177	AAB_000143
OG0000013	AAZ_000135, AAZ_000136	AAB_000114
OG0000014	AAZ_000174	AAB_000140
OG0000015	AAZ_000146, AAZ_000147	AAB_000119
OG0000017	AAZ_000169	AAB_000136
OG0000018	AAZ_000132	AAB_000112
OG0000019	AAZ_000178, AAZ_000179	AAB_000144
OG0000020	AAZ_000137, AAZ_000138	AAB_000115
OG0000021	AAZ_000166	AAB_000134
OG0000022	AAZ_000125	AAB_000107
OG0000023	AAZ_000139, AAZ_000140	AAB_000116
OG0000024	AAZ_000172, AAZ_000171	AAB_000138
OG0000026	AAZ_000176	AAB_000142
OG0000027	AAZ_000148	AAB_000120
OG0000028	AAZ_000170	AAB_000137
OG0000029	AAZ_000175	AAB_000141
OG0000031	AAZ_000163	AAB_000132
OG0000032	AAZ_000180	AAB_000145
OG0000033	AAZ_000159	AAB_000128
OG0000034	AAZ_000158	AAB_000127
OG0000035	AAZ_000165	AAB_000133
OG0000036	AAZ_000161	AAB_000130
