Orthogroup	t9_fai-gene-cluster-1	t27_fai-gene-cluster-1
OG0000000	AAZ_000153	AAP_000187, AAP_000188
OG0000000	AAZ_000154	AAP_000191
OG0000000	AAZ_000155	AAP_000192
OG0000001	AAZ_000160	AAP_000175, AAP_000198
OG0000001	AAZ_000141	AAP_000197
OG0000002	AAZ_000143	AAP_000177
OG0000003	AAZ_000152	AAP_000183
OG0000004	AAZ_000126	AAP_000159, AAP_000160, AAP_000158
OG0000005	AAZ_000156	AAP_000193
OG0000006	AAZ_000134	AAP_000170
OG0000006	AAZ_000133	AAP_000168
OG0000007	AAZ_000151	AAP_000182
OG0000009	AAZ_000168	AAP_000203
OG0000010	AAZ_000130	AAP_000163
OG0000012	AAZ_000177	AAP_000214
OG0000013	AAZ_000135	AAP_000171
OG0000013	AAZ_000136	AAP_000172
OG0000014	AAZ_000174	AAP_000210, AAP_000209
OG0000015	AAZ_000146, AAZ_000147	AAP_000178
OG0000016	AAZ_000162	AAP_000199
OG0000017	AAZ_000169	AAP_000204
OG0000019	AAZ_000179	AAP_000215
OG0000020	AAZ_000137	AAP_000173
OG0000021	AAZ_000167	AAP_000200, AAP_000202
OG0000022	AAZ_000125	AAP_000157
OG0000023	AAZ_000139	AAP_000174
OG0000024	AAZ_000172	AAP_000207
OG0000026	AAZ_000176	AAP_000212
OG0000027	AAZ_000148	AAP_000180, AAP_000179
OG0000028	AAZ_000170	AAP_000206, AAP_000205
OG0000029	AAZ_000175	AAP_000211
OG0000032	AAZ_000180	AAP_000216
OG0000033	AAZ_000159	AAP_000196
OG0000034	AAZ_000158	AAP_000195
