Orthogroup	t6_fai-gene-cluster-1	Ref_Epa_from_V583_fai-gene-cluster-1
OG0000000	AAX_000159	AAB_000125
OG0000000	AAX_000158	AAB_000124
OG0000001	AAX_000148	AAB_000117, AAB_000129
OG0000002	AAX_000150	AAB_000118
OG0000003	AAX_000156	AAB_000123
OG0000004	AAX_000131, AAX_000130	AAB_000108
OG0000005	AAX_000162	AAB_000126
OG0000006	AAX_000142	AAB_000113
OG0000007	AAX_000155	AAB_000122
OG0000008	AAX_000154	AAB_000121
OG0000009	AAX_000171, AAX_000172	AAB_000135
OG0000010	AAX_000136	AAB_000110
OG0000011	AAX_000137	AAB_000111
OG0000012	AAX_000182, AAX_000183	AAB_000143
OG0000013	AAX_000144	AAB_000114
OG0000014	AAX_000179, AAX_000178	AAB_000140
OG0000015	AAX_000152	AAB_000119
OG0000016	AAX_000167	AAB_000131
OG0000017	AAX_000173	AAB_000136
OG0000018	AAX_000139	AAB_000112
OG0000019	AAX_000184	AAB_000144
OG0000020	AAX_000145	AAB_000115
OG0000021	AAX_000170	AAB_000134
OG0000022	AAX_000129	AAB_000107
OG0000023	AAX_000147	AAB_000116
OG0000024	AAX_000176	AAB_000138
OG0000025	AAX_000177	AAB_000139
OG0000026	AAX_000181	AAB_000142
OG0000027	AAX_000153	AAB_000120
OG0000028	AAX_000175, AAX_000174	AAB_000137
OG0000029	AAX_000180	AAB_000141
OG0000030	AAX_000133, AAX_000134	AAB_000109
OG0000032	AAX_000185	AAB_000145
OG0000033	AAX_000164	AAB_000128
OG0000034	AAX_000163	AAB_000127
OG0000035	AAX_000169	AAB_000133
OG0000036	AAX_000166	AAB_000130
