Orthogroup	t17_fai-gene-cluster-1	Ref_Epa_from_V583_fai-gene-cluster-1
OG0000000	AAO_000218	AAB_000124
OG0000000	AAO_000226, AAO_000227	AAB_000125
OG0000001	AAO_000237	AAB_000129, AAB_000117
OG0000002	AAO_000207, AAO_000209, AAO_000208	AAB_000118
OG0000003	AAO_000215	AAB_000123
OG0000005	AAO_000233	AAB_000126
OG0000006	AAO_000198	AAB_000113
OG0000007	AAO_000214, AAO_000213	AAB_000122
OG0000008	AAO_000212	AAB_000121
OG0000009	AAO_000245	AAB_000135
OG0000010	AAO_000189, AAO_000191	AAB_000110
OG0000012	AAO_000258, AAO_000257	AAB_000143
OG0000013	AAO_000199, AAO_000200	AAB_000114
OG0000014	AAO_000253, AAO_000252	AAB_000140
OG0000017	AAO_000247	AAB_000136
OG0000019	AAO_000259	AAB_000144
OG0000020	AAO_000201	AAB_000115
OG0000021	AAO_000244	AAB_000134
OG0000022	AAO_000187	AAB_000107
OG0000023	AAO_000202	AAB_000116
OG0000024	AAO_000249	AAB_000138
OG0000025	AAO_000251	AAB_000139
OG0000026	AAO_000256	AAB_000142
OG0000027	AAO_000210	AAB_000120
OG0000028	AAO_000248	AAB_000137
OG0000029	AAO_000254, AAO_000255	AAB_000141
OG0000031	AAO_000242	AAB_000132
OG0000032	AAO_000260	AAB_000145
OG0000033	AAO_000236	AAB_000128
OG0000034	AAO_000235	AAB_000127
OG0000035	AAO_000243	AAB_000133
OG0000036	AAO_000239	AAB_000130
