Orthogroup	t24_fai-gene-cluster-1	Ref_Epa_from_V583_fai-gene-cluster-1
OG0000000	AAH_000154	AAB_000125
OG0000000	AAH_000151	AAB_000124
OG0000001	AAH_000141	AAB_000117, AAB_000129
OG0000002	AAH_000143	AAB_000118
OG0000003	AAH_000150	AAB_000123
OG0000004	AAH_000128	AAB_000108
OG0000005	AAH_000156, AAH_000157, AAH_000158	AAB_000126
OG0000006	AAH_000136	AAB_000113
OG0000007	AAH_000148, AAH_000149	AAB_000122
OG0000009	AAH_000168	AAB_000135
OG0000010	AAH_000131, AAH_000132	AAB_000110
OG0000011	AAH_000133	AAB_000111
OG0000012	AAH_000177	AAB_000143
OG0000013	AAH_000138	AAB_000114
OG0000014	AAH_000174	AAB_000140
OG0000015	AAH_000145	AAB_000119
OG0000016	AAH_000163	AAB_000131
OG0000017	AAH_000169	AAB_000136
OG0000018	AAH_000134	AAB_000112
OG0000019	AAH_000178, AAH_000179	AAB_000144
OG0000020	AAH_000139	AAB_000115
OG0000021	AAH_000167	AAB_000134
OG0000022	AAH_000127, AAH_000126	AAB_000107
OG0000023	AAH_000140	AAB_000116
OG0000024	AAH_000171, AAH_000172	AAB_000138
OG0000025	AAH_000173	AAB_000139
OG0000026	AAH_000176	AAB_000142
OG0000027	AAH_000146	AAB_000120
OG0000028	AAH_000170	AAB_000137
OG0000029	AAH_000175	AAB_000141
OG0000030	AAH_000129	AAB_000109
OG0000031	AAH_000165	AAB_000132
OG0000032	AAH_000180	AAB_000145
OG0000033	AAH_000160	AAB_000128
OG0000034	AAH_000159	AAB_000127
OG0000035	AAH_000166	AAB_000133
OG0000036	AAH_000162	AAB_000130
