Orthogroup	t18_fai-gene-cluster-1	t22_fai-gene-cluster-1
OG0000000	AAY_000157	AAU_000193
OG0000000	AAY_000158	AAU_000195
OG0000001	AAY_000141	AAU_000199
OG0000002	AAY_000142	AAU_000176
OG0000002	AAY_000143	AAU_000177
OG0000002	AAY_000144	AAU_000178
OG0000003	AAY_000154	AAU_000190
OG0000003	AAY_000156	AAU_000192
OG0000004	AAY_000126	AAU_000159
OG0000004	AAY_000128	AAU_000160
OG0000005	AAY_000160	AAU_000197
OG0000006	AAY_000135	AAU_000169
OG0000007	AAY_000153	AAU_000189
OG0000007	AAY_000151	AAU_000188
OG0000008	AAY_000148	AAU_000185
OG0000008	AAY_000150	AAU_000186, AAU_000187
OG0000009	AAY_000169	AAU_000205
OG0000009	AAY_000171	AAU_000206
OG0000010	AAY_000131	AAU_000162
OG0000010	AAY_000132	AAU_000163
OG0000011	AAY_000133	AAU_000165
OG0000012	AAY_000179	AAU_000216
OG0000013	AAY_000137	AAU_000170
OG0000014	AAY_000176	AAU_000213, AAU_000212
OG0000015	AAY_000145	AAU_000180
OG0000015	AAY_000146	AAU_000181, AAU_000182
OG0000016	AAY_000165	AAU_000200
OG0000017	AAY_000172	AAU_000208
OG0000019	AAY_000180	AAU_000217, AAU_000218
OG0000020	AAY_000138	AAU_000171, AAU_000172
OG0000021	AAY_000168	AAU_000204, AAU_000203
OG0000022	AAY_000125	AAU_000158
OG0000023	AAY_000139	AAU_000173
OG0000025	AAY_000175	AAU_000211
OG0000026	AAY_000178	AAU_000215
OG0000027	AAY_000147	AAU_000183
OG0000028	AAY_000173	AAU_000209
OG0000029	AAY_000177	AAU_000214
OG0000030	AAY_000130	AAU_000161
OG0000032	AAY_000181	AAU_000219
OG0000033	AAY_000162	AAU_000198
OG0000035	AAY_000167	AAU_000202
