Orthogroup	t18_fai-gene-cluster-1	t1_fai-gene-cluster-1
OG0000000	AAY_000157	AAI_000140
OG0000000	AAY_000158	AAI_000143
OG0000000	AAY_000159	AAI_000144
OG0000001	AAY_000141	AAI_000148
OG0000002	AAY_000142	AAI_000131
OG0000002	AAY_000143, AAY_000144	AAI_000132
OG0000003	AAY_000154	AAI_000137
OG0000003	AAY_000156	AAI_000139
OG0000004	AAY_000127, AAY_000126	AAI_000118
OG0000005	AAY_000160	AAI_000145
OG0000006	AAY_000135	AAI_000126
OG0000007	AAY_000152, AAY_000153, AAY_000151	AAI_000136
OG0000008	AAY_000150	AAI_000135
OG0000009	AAY_000169	AAI_000152
OG0000009	AAY_000171	AAI_000153
OG0000010	AAY_000132	AAI_000121
OG0000011	AAY_000133	AAI_000123, AAI_000122
OG0000012	AAY_000179	AAI_000163
OG0000013	AAY_000136	AAI_000127
OG0000014	AAY_000176	AAI_000160
OG0000015	AAY_000146	AAI_000133
OG0000016	AAY_000165	AAI_000150
OG0000017	AAY_000172	AAI_000154
OG0000018	AAY_000134	AAI_000124
OG0000019	AAY_000180	AAI_000164
OG0000020	AAY_000138	AAI_000128
OG0000021	AAY_000168	AAI_000151
OG0000022	AAY_000125	AAI_000117
OG0000024	AAY_000174	AAI_000157
OG0000025	AAY_000175	AAI_000158, AAI_000159
OG0000026	AAY_000178	AAI_000162
OG0000027	AAY_000147	AAI_000134
OG0000028	AAY_000173	AAI_000156, AAI_000155
OG0000029	AAY_000177	AAI_000161
OG0000030	AAY_000130	AAI_000120
OG0000030	AAY_000129	AAI_000119
OG0000032	AAY_000181	AAI_000165
OG0000033	AAY_000162	AAI_000147
OG0000034	AAY_000161	AAI_000146
OG0000036	AAY_000164	AAI_000149
