og	og_order	genbank	og_presence	copy_count
OG_81	1	t10_fai-gene-cluster	1	
OG_81	1	Ref_Epa_from_V583_fa	0	
OG_81	1	t27_fai-gene-cluster	0	
OG_81	1	t9_fai-gene-cluster-	0	
OG_81	1	t6_fai-gene-cluster-	0	
OG_81	1	t30_fai-gene-cluster	0	
OG_81	1	t29_fai-gene-cluster	0	
OG_81	1	t15_fai-gene-cluster	0	
OG_81	1	t22_fai-gene-cluster	0	
OG_81	1	t12_fai-gene-cluster	1	
OG_81	1	t16_fai-gene-cluster	0	
OG_81	1	t7_fai-gene-cluster-	0	
OG_81	1	t21_fai-gene-cluster	0	
OG_81	1	t19_fai-gene-cluster	0	
OG_81	1	t14_fai-gene-cluster	0	
OG_81	1	t3_fai-gene-cluster-	0	
OG_81	1	t1_fai-gene-cluster-	0	
OG_81	1	t13_fai-gene-cluster	0	
OG_81	1	t11_fai-gene-cluster	0	
OG_81	1	t17_fai-gene-cluster	1	
OG_81	1	t5_fai-gene-cluster-	0	
OG_81	1	t8_fai-gene-cluster-	1	
OG_81	1	t18_fai-gene-cluster	0	
OG_81	1	t26_fai-gene-cluster	0	
OG_81	1	t28_fai-gene-cluster	0	
OG_81	1	t25_fai-gene-cluster	0	
OG_81	1	t2_fai-gene-cluster-	0	
OG_81	1	t20_fai-gene-cluster	0	
OG_81	1	t23_fai-gene-cluster	0	
OG_81	1	t4_fai-gene-cluster-	0	
OG_81	1	t24_fai-gene-cluster	0	
OG_75	2	t10_fai-gene-cluster	0	
OG_75	2	Ref_Epa_from_V583_fa	0	
OG_75	2	t27_fai-gene-cluster	0	
OG_75	2	t9_fai-gene-cluster-	0	
OG_75	2	t6_fai-gene-cluster-	0	
OG_75	2	t30_fai-gene-cluster	0	
OG_75	2	t29_fai-gene-cluster	0	
OG_75	2	t15_fai-gene-cluster	0	
OG_75	2	t22_fai-gene-cluster	0	
OG_75	2	t12_fai-gene-cluster	0	
OG_75	2	t16_fai-gene-cluster	0	
OG_75	2	t7_fai-gene-cluster-	0	
OG_75	2	t21_fai-gene-cluster	0	
OG_75	2	t19_fai-gene-cluster	0	
OG_75	2	t14_fai-gene-cluster	1	
OG_75	2	t3_fai-gene-cluster-	0	
OG_75	2	t1_fai-gene-cluster-	0	
OG_75	2	t13_fai-gene-cluster	0	
OG_75	2	t11_fai-gene-cluster	0	
OG_75	2	t17_fai-gene-cluster	1	
OG_75	2	t5_fai-gene-cluster-	0	
OG_75	2	t8_fai-gene-cluster-	1	
OG_75	2	t18_fai-gene-cluster	0	
OG_75	2	t26_fai-gene-cluster	0	
OG_75	2	t28_fai-gene-cluster	0	
OG_75	2	t25_fai-gene-cluster	0	
OG_75	2	t2_fai-gene-cluster-	0	
OG_75	2	t20_fai-gene-cluster	0	
OG_75	2	t23_fai-gene-cluster	0	
OG_75	2	t4_fai-gene-cluster-	0	
OG_75	2	t24_fai-gene-cluster	0	
OG_68	3	t10_fai-gene-cluster	0	
OG_68	3	Ref_Epa_from_V583_fa	0	
OG_68	3	t27_fai-gene-cluster	0	
OG_68	3	t9_fai-gene-cluster-	1	
OG_68	3	t6_fai-gene-cluster-	0	
OG_68	3	t30_fai-gene-cluster	0	
OG_68	3	t29_fai-gene-cluster	0	
OG_68	3	t15_fai-gene-cluster	0	
OG_68	3	t22_fai-gene-cluster	0	
OG_68	3	t12_fai-gene-cluster	0	
OG_68	3	t16_fai-gene-cluster	0	
OG_68	3	t7_fai-gene-cluster-	0	
OG_68	3	t21_fai-gene-cluster	0	
OG_68	3	t19_fai-gene-cluster	0	
OG_68	3	t14_fai-gene-cluster	0	
OG_68	3	t3_fai-gene-cluster-	0	
OG_68	3	t1_fai-gene-cluster-	0	
OG_68	3	t13_fai-gene-cluster	0	
OG_68	3	t11_fai-gene-cluster	0	
OG_68	3	t17_fai-gene-cluster	1	
OG_68	3	t5_fai-gene-cluster-	1	
OG_68	3	t8_fai-gene-cluster-	1	
OG_68	3	t18_fai-gene-cluster	0	
OG_68	3	t26_fai-gene-cluster	0	
OG_68	3	t28_fai-gene-cluster	0	
OG_68	3	t25_fai-gene-cluster	0	
OG_68	3	t2_fai-gene-cluster-	0	
OG_68	3	t20_fai-gene-cluster	0	
OG_68	3	t23_fai-gene-cluster	0	
OG_68	3	t4_fai-gene-cluster-	1	
OG_68	3	t24_fai-gene-cluster	1	
OG_1	4	t10_fai-gene-cluster	0	
OG_1	4	Ref_Epa_from_V583_fa	1	
OG_1	4	t27_fai-gene-cluster	1	
OG_1	4	t9_fai-gene-cluster-	1	
OG_1	4	t6_fai-gene-cluster-	1	
OG_1	4	t30_fai-gene-cluster	1	
OG_1	4	t29_fai-gene-cluster	1	
OG_1	4	t15_fai-gene-cluster	1	2
OG_1	4	t22_fai-gene-cluster	1	
OG_1	4	t12_fai-gene-cluster	0	
OG_1	4	t16_fai-gene-cluster	1	
OG_1	4	t7_fai-gene-cluster-	1	
OG_1	4	t21_fai-gene-cluster	1	
OG_1	4	t19_fai-gene-cluster	1	
OG_1	4	t14_fai-gene-cluster	1	2
OG_1	4	t3_fai-gene-cluster-	1	
OG_1	4	t1_fai-gene-cluster-	1	
OG_1	4	t13_fai-gene-cluster	1	
OG_1	4	t11_fai-gene-cluster	1	2
OG_1	4	t17_fai-gene-cluster	1	
OG_1	4	t5_fai-gene-cluster-	1	
OG_1	4	t8_fai-gene-cluster-	1	
OG_1	4	t18_fai-gene-cluster	1	
OG_1	4	t26_fai-gene-cluster	1	
OG_1	4	t28_fai-gene-cluster	1	
OG_1	4	t25_fai-gene-cluster	1	
OG_1	4	t2_fai-gene-cluster-	1	
OG_1	4	t20_fai-gene-cluster	1	
OG_1	4	t23_fai-gene-cluster	1	
OG_1	4	t4_fai-gene-cluster-	1	
OG_1	4	t24_fai-gene-cluster	1	
OG_63	5	t10_fai-gene-cluster	0	
OG_63	5	Ref_Epa_from_V583_fa	0	
